# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed4[4]
0 3.40438e-29
100 0.565251
200 1.26597
300 1.92117
400 2.5445
500 3.10236
600 3.64236
700 4.15464
800 4.63683
900 5.04574
1000 5.44007
1100 5.76581
1200 6.09293
1300 6.46617
1400 6.95006
1500 7.38014
1600 7.77006
1700 8.02793
1800 8.31737
1900 8.65346
2000 9.00306
2100 9.4044
2200 9.84575
2300 10.145
2400 10.5162
2500 10.9162
2600 11.3744
2700 11.8544
2800 12.2786
2900 12.5833
3000 12.8525
3100 13.1497
3200 13.4108
3300 13.7531
3400 14.1266
3500 14.4814
3600 14.6888
3700 14.9047
3800 15.3214
3900 15.5864
4000 15.7
4100 15.9023
4200 16.1441
4300 16.4425
4400 16.8503
4500 17.1897
4600 17.4999
4700 17.8656
4800 18.2348
4900 18.5639
5000 18.9919
5100 19.4177
5200 20.0211
5300 20.5048
5400 20.7619
5500 20.9343
5600 21.2064
5700 21.4269
5800 21.6692
5900 21.9347
6000 22.2141
6100 22.5348
6200 22.7705
6300 22.9425
6400 22.9999
6500 23.221
6600 23.5539
6700 23.8818
6800 24.231
6900 24.5697
7000 24.9946
7100 25.3717
7200 25.7015
7300 26.0688
7400 26.3381
7500 26.5563
7600 26.9063
7700 27.0036
7800 27.1321
7900 27.3232
8000 27.6463
8100 27.92
8200 28.2816
8300 28.6719
8400 29.0101
8500 29.2407
8600 29.4549
8700 29.595
8800 29.8762
8900 30.2997
9000 30.7342
9100 31.1116
9200 31.2155
9300 31.3648
9400 31.7014
9500 31.9007
9600 32.1728
9700 32.3255
9800 32.4563
9900 32.4182
10000 32.5817
10100 32.7763
10200 32.9883
10300 33.3377
10400 33.6611
10500 33.9609
10600 34.3518
10700 34.7838
10800 35.2197
10900 35.5874
11000 36.0321
11100 36.4281
11200 36.8727
11300 37.2336
11400 37.4518
11500 37.6956
11600 38.1274
11700 38.4409
11800 38.5365
11900 38.7474
12000 38.8931
12100 38.8837
12200 39.1178
12300 39.3304
12400 39.5937
12500 39.8581
12600 40.0419
12700 40.5177
12800 40.9074
12900 41.3191
13000 41.9071
13100 42.4443
13200 43.0034
13300 43.4518
13400 43.813
13500 43.9802
13600 44.1224
13700 44.4915
13800 44.7666
13900 45.0689
14000 45.4134
14100 45.778
14200 46.1978
14300 46.4269
14400 46.6392
14500 46.8638
14600 47.2061
14700 47.6274
14800 47.9072
14900 48.1026
15000 48.4137
15100 48.5114
15200 48.7462
15300 48.7813
15400 48.9656
15500 49.352
15600 49.8125
15700 49.9033
15800 50.0573
15900 49.9876
16000 49.9093
16100 49.8401
16200 49.8857
16300 49.9711
16400 50.056
16500 50.3545
16600 50.5728
16700 50.9118
16800 51.0823
16900 51.4017
17000 51.7349
17100 52.0291
17200 52.3304
17300 52.5233
17400 52.8318
17500 53.1228
17600 53.3738
17700 53.6153
17800 53.8771
17900 54.1191
18000 54.3996
18100 54.5623
18200 54.7502
18300 54.9573
18400 55.3679
18500 55.8794
18600 56.1915
18700 56.2043
18800 56.1986
18900 56.4822
19000 56.6645
19100 56.8379
19200 57.1818
19300 57.4772
19400 57.8825
19500 58.0782
19600 58.2951
19700 58.5763
19800 58.5623
19900 58.7382
20000 58.858
20100 59.0751
20200 59.586
20300 59.9843
20400 60.0353
20500 60.1567
20600 60.4387
20700 60.7721
20800 61.059
20900 61.1821
21000 61.3104
21100 61.7415
21200 62.2138
21300 62.6444
21400 63.1979
21500 63.659
21600 63.9064
21700 63.7557
21800 63.7183
21900 63.6721
22000 63.8445
22100 64.09
22200 64.2342
22300 64.5659
22400 64.4159
22500 64.393
22600 64.6971
22700 65.0396
22800 65.5468
22900 66.0147
23000 66.5096
23100 66.7721
23200 66.8587
23300 67.0609
23400 67.4309
23500 67.8197
23600 67.9488
23700 68.3405
23800 68.641
23900 69.0605
24000 69.7096
24100 69.9302
24200 69.9588
24300 70.2788
24400 70.9079
24500 71.1589
24600 71.494
24700 71.7624
24800 72.0686
24900 72.6082
25000 72.8634
25100 72.9123
25200 73.0505
25300 73.0533
25400 73.2381
25500 73.5338
25600 73.926
25700 74.2469
25800 74.2541
25900 74.5229
26000 74.7942
26100 75.2565
26200 75.454
26300 75.7963
26400 76.121
26500 76.7037
26600 77.1248
26700 77.2354
26800 77.4978
26900 77.7422
27000 78.1728
27100 78.5214
27200 78.8458
27300 78.9295
27400 79.1083
27500 79.453
27600 79.7359
27700 80.309
27800 80.9201
27900 81.4344
28000 82.1093
28100 82.6401
28200 82.8762
28300 83.1516
28400 83.2884
28500 83.3619
28600 83.5567
28700 83.7905
28800 83.8256
28900 84.1748
29000 84.3705
29100 84.2563
29200 84.4696
29300 85.0337
29400 85.6258
29500 86.0116
29600 86.0463
29700 86.3785
29800 86.5418
29900 86.7127
30000 86.9508
30100 87.3082
30200 87.7811
30300 88.0495
30400 88.292
30500 88.3632
30600 88.4533
30700 88.6476
30800 88.7674
30900 88.8619
31000 89.012
31100 89.2334
31200 89.4348
31300 89.7012
31400 89.8295
31500 89.8226
31600 89.8679
31700 90.1276
31800 90.3138
31900 90.6159
32000 90.8818
32100 91.0282
32200 91.123
32300 91.4504
32400 91.8803
32500 92.1526
32600 92.7404
32700 93.05
32800 93.2348
32900 93.6769
33000 94.0496
33100 94.2842
33200 94.6224
33300 94.9894
33400 95.2945
33500 95.5695
33600 95.7229
33700 95.7158
33800 95.7229
33900 95.6734
34000 95.6321
34100 95.8812
34200 96.123
34300 96.4169
34400 96.7776
34500 97.0192
34600 97.4104
34700 97.5361
34800 97.7021
34900 97.9902
35000 98.2583
35100 98.8629
35200 99.0825
35300 99.3545
35400 99.4358
35500 99.8305
35600 100.076
35700 100.243
35800 100.769
35900 101.243
36000 101.87
36100 102.22
36200 102.589
36300 102.698
36400 102.842
36500 102.939
36600 102.838
36700 102.789
36800 102.915
36900 103.051
37000 103.491
37100 103.911
37200 104.253
37300 104.362
37400 104.511
37500 104.697
37600 104.676
37700 104.884
37800 105.224
37900 105.438
38000 105.914
38100 106.21
38200 106.306
38300 106.593
38400 106.945
38500 107.341
38600 107.687
38700 107.984
38800 108.164
38900 108.317
39000 108.438
39100 108.603
39200 108.986
39300 109.74
39400 110.331
39500 110.557
39600 111.095
39700 111.636
39800 112.052
39900 112.448
40000 112.73
40100 113.147
40200 113.501
40300 113.763
40400 114
40500 114.306
40600 114.124
40700 114.292
40800 114.427
40900 114.542
41000 114.658
41100 114.961
41200 115.293
41300 115.78
41400 116.043
41500 116.287
41600 116.354
41700 116.401
41800 116.849
41900 117.472
42000 117.941
42100 118.113
42200 118.407
42300 118.831
42400 119.329
42500 119.78
42600 119.89
42700 119.695
42800 119.727
42900 120.051
43000 120.175
43100 120.296
43200 120.337
43300 120.632
43400 121
43500 121.208
43600 121.44
43700 121.365
43800 121.556
43900 121.724
44000 121.789
44100 121.996
44200 122.473
44300 122.882
44400 123.004
44500 123.101
44600 123.104
44700 122.884
44800 123.107
44900 123.375
45000 123.668
45100 123.717
45200 123.932
45300 124.259
45400 124.451
45500 124.528
45600 124.951
45700 125.251
45800 125.36
45900 125.836
46000 126.412
46100 126.813
46200 127.19
46300 127.202
46400 127.255
46500 127.389
46600 127.299
46700 127.399
46800 127.5
46900 127.739
47000 128.008
47100 128.583
47200 129.14
47300 129.65
47400 130.155
47500 130.842
47600 131.23
47700 131.444
47800 131.455
47900 131.941
48000 132.269
48100 132.359
48200 132.647
48300 132.811
48400 132.895
48500 132.91
48600 133.173
48700 133.562
48800 133.934
48900 134.547
49000 135.022
49100 135.613
49200 136.446
49300 137.175
49400 137.61
49500 137.914
49600 138.342
49700 138.424
49800 138.416
49900 138.693
50000 139.378
50100 140.179
50200 140.875
50300 141.444
50400 141.651
50500 141.995
50600 142.362
50700 142.545
50800 142.608
50900 142.48
51000 142.6
51100 142.598
51200 142.681
51300 142.932
51400 143.021
51500 143.159
51600 143.358
51700 143.528
51800 143.547
51900 143.965
52000 144.3
52100 144.651
52200 144.998
52300 145.487
52400 146.022
52500 146.692
52600 147.237
52700 147.818
52800 148.092
52900 148.399
53000 148.729
53100 148.878
53200 148.845
53300 148.936
53400 148.739
53500 148.733
53600 149.03
53700 149.181
53800 149.707
53900 150.009
54000 150.072
54100 149.903
54200 149.716
54300 149.697
54400 149.556
54500 149.981
54600 150.227
54700 150.557
54800 151.367
54900 151.677
55000 151.963
55100 152.181
55200 152.192
55300 152.359
55400 152.559
55500 152.624
55600 152.678
55700 152.878
55800 152.799
55900 153.133
56000 152.933
56100 152.855
56200 152.932
56300 152.866
56400 152.777
56500 152.635
56600 152.715
56700 152.817
56800 153.199
56900 153.691
57000 154.015
57100 153.92
57200 154.118
57300 154.566
57400 154.476
57500 154.369
57600 154.618
57700 154.894
57800 154.841
57900 154.589
58000 154.679
58100 154.622
58200 154.888
58300 154.979
58400 155.168
58500 155.253
58600 155.295
58700 155.433
58800 155.377
58900 155.701
59000 155.969
59100 156.171
59200 156.646
59300 157.301
59400 157.648
59500 157.561
59600 157.643
59700 157.745
59800 158.166
59900 158.69
60000 159.333
60100 159.534
60200 159.97
60300 160.479
60400 160.776
60500 160.657
60600 160.642
60700 161.1
60800 161.336
60900 161.31
61000 161.62
61100 161.97
61200 161.882
61300 162.01
61400 162.08
61500 161.919
61600 161.542
61700 161.135
61800 160.594
61900 160.313
62000 160.256
62100 160.227
62200 160.355
62300 160.134
62400 159.902
62500 159.847
62600 159.993
62700 160.248
62800 160.636
62900 161.086
63000 161.421
63100 161.168
63200 161.066
63300 161.089
63400 161.196
63500 161.378
63600 161.242
63700 161.241
63800 161.177
63900 161.612
64000 161.93
64100 162.072
64200 162.1
64300 162.471
64400 163.016
64500 163.183
64600 163.317
64700 163.423
64800 163.547
64900 163.585
65000 163.715
65100 163.677
65200 163.935
65300 164.407
65400 164.736
65500 165.108
65600 165.337
65700 165.773
65800 165.845
65900 165.88
66000 165.992
66100 165.611
66200 165.589
66300 165.927
66400 166.24
66500 166.789
66600 167.195
66700 167.693
66800 167.83
66900 168.197
67000 168.27
67100 168.204
67200 168.207
67300 168.216
67400 168.276
67500 168.207
67600 168.093
67700 168.144
67800 168.248
67900 168.739
68000 169.077
68100 169.362
68200 169.899
68300 170.396
68400 170.646
68500 170.696
68600 170.193
68700 169.957
68800 170.027
68900 170.2
69000 170.229
69100 170.243
69200 170.374
69300 170.708
69400 171.394
69500 171.683
69600 171.825
69700 171.969
69800 172.049
69900 172.542
70000 172.837
70100 173.13
70200 173.452
70300 173.774
70400 173.828
70500 173.826
70600 173.994
70700 174.372
70800 175.037
70900 175.562
71000 175.965
71100 176.269
71200 176.648
71300 176.959
71400 177.115
71500 177.138
71600 177.079
71700 177.045
71800 177.026
71900 177.288
72000 177.498
72100 177.559
72200 177.803
72300 178.158
72400 178.809
72500 178.789
72600 178.592
72700 178.151
72800 177.806
72900 177.96
73000 178.489
73100 178.867
73200 179.115
73300 179.509
73400 179.995
73500 180.319
73600 180.736
73700 181.442
73800 182.263
73900 182.571
74000 182.851
74100 183.014
74200 183.102
