# Time-averaged data for fix rg_avg_A
# TimeStep c_rg_A
0 25.9514
100 25.9784
200 26.0038
300 26.0016
400 26.0039
500 26.0153
600 26.0177
700 26.0449
800 26.0453
900 26.0581
1000 26.0725
1100 26.0757
1200 26.0924
1300 26.125
1400 26.1363
1500 26.1517
1600 26.1572
1700 26.1645
1800 26.1615
1900 26.1653
2000 26.1509
2100 26.1584
2200 26.1768
2300 26.1748
2400 26.1895
2500 26.2203
2600 26.2356
2700 26.2232
2800 26.2239
2900 26.2269
3000 26.2046
3100 26.1886
3200 26.189
3300 26.1806
3400 26.1794
3500 26.1815
3600 26.1825
3700 26.1998
3800 26.2212
3900 26.2115
4000 26.1977
4100 26.1878
4200 26.2037
4300 26.2312
4400 26.2454
4500 26.2408
4600 26.2344
4700 26.2235
4800 26.2334
4900 26.2262
5000 26.2205
5100 26.217
5200 26.2118
5300 26.2085
5400 26.1767
5500 26.1545
5600 26.1694
5700 26.1864
5800 26.2077
5900 26.2239
6000 26.2472
6100 26.2649
6200 26.2655
6300 26.2711
6400 26.2773
6500 26.2903
6600 26.3097
6700 26.3269
6800 26.3362
6900 26.3301
7000 26.2904
7100 26.2924
7200 26.2895
7300 26.2869
7400 26.2656
7500 26.265
7600 26.2893
7700 26.307
7800 26.3304
7900 26.3509
8000 26.3798
8100 26.3768
8200 26.3773
8300 26.4119
8400 26.4248
8500 26.4205
8600 26.4511
8700 26.4809
8800 26.492
8900 26.5221
9000 26.5266
9100 26.5301
9200 26.5541
9300 26.5764
9400 26.6033
9500 26.63
9600 26.6312
9700 26.6263
9800 26.6354
9900 26.6589
10000 26.6929
10100 26.7037
10200 26.7257
10300 26.757
10400 26.7692
10500 26.7681
10600 26.7798
10700 26.7888
10800 26.8123
10900 26.8327
11000 26.8189
11100 26.8182
11200 26.8115
11300 26.7976
11400 26.807
11500 26.8271
11600 26.8519
11700 26.898
11800 26.9259
11900 26.9165
12000 26.9263
12100 26.952
12200 26.9562
12300 26.9725
12400 26.9932
12500 27.0072
12600 27.0136
12700 27.0265
12800 27.0488
12900 27.0641
13000 27.091
13100 27.0969
13200 27.1162
13300 27.1325
13400 27.1389
13500 27.1113
13600 27.0862
13700 27.0929
13800 27.1156
13900 27.1272
14000 27.1213
14100 27.1327
14200 27.1261
14300 27.1052
14400 27.0988
14500 27.0848
14600 27.0793
14700 27.0838
14800 27.0913
14900 27.1087
15000 27.1007
15100 27.112
15200 27.1278
15300 27.1458
15400 27.1748
15500 27.1885
15600 27.1937
15700 27.1905
15800 27.1864
15900 27.1832
16000 27.1831
16100 27.1666
16200 27.1829
16300 27.2143
16400 27.2328
16500 27.2404
16600 27.2811
16700 27.3064
16800 27.3277
16900 27.3483
17000 27.3727
17100 27.4087
17200 27.4218
17300 27.4215
17400 27.4273
17500 27.4288
17600 27.4304
17700 27.4434
17800 27.4661
17900 27.4669
18000 27.4591
18100 27.4581
18200 27.4695
18300 27.4625
18400 27.4724
18500 27.5043
18600 27.5277
18700 27.5107
18800 27.5006
18900 27.5033
19000 27.5022
19100 27.512
19200 27.5156
19300 27.5224
19400 27.5086
19500 27.4991
19600 27.5058
19700 27.5145
19800 27.5073
19900 27.523
20000 27.5243
20100 27.5544
20200 27.5602
20300 27.5733
20400 27.5738
20500 27.579
20600 27.5704
20700 27.5767
20800 27.5854
20900 27.5993
21000 27.6184
21100 27.6224
21200 27.6216
21300 27.6301
21400 27.6486
21500 27.6385
21600 27.6188
21700 27.608
21800 27.5929
21900 27.5914
22000 27.5904
22100 27.6009
22200 27.6017
22300 27.5877
22400 27.5846
22500 27.5689
22600 27.5524
22700 27.5289
22800 27.5262
22900 27.5149
23000 27.5172
23100 27.5293
23200 27.5432
23300 27.557
23400 27.5639
23500 27.5782
23600 27.597
23700 27.5899
23800 27.5829
23900 27.5728
24000 27.5766
24100 27.5778
24200 27.5712
24300 27.5815
24400 27.5706
24500 27.5703
24600 27.5823
24700 27.5847
24800 27.5786
24900 27.5844
25000 27.5929
25100 27.5919
25200 27.5751
25300 27.5893
25400 27.5891
25500 27.5797
25600 27.5921
25700 27.5855
25800 27.5865
25900 27.5862
26000 27.5874
26100 27.5737
26200 27.5797
26300 27.566
26400 27.5758
26500 27.5817
26600 27.5726
26700 27.5651
26800 27.5519
26900 27.5549
27000 27.5693
27100 27.5754
27200 27.5657
27300 27.5563
27400 27.5581
27500 27.5698
27600 27.5777
27700 27.5922
27800 27.5994
27900 27.6021
28000 27.6152
28100 27.6175
28200 27.6179
28300 27.6226
28400 27.6132
28500 27.6016
28600 27.6019
28700 27.5968
28800 27.5939
28900 27.5966
29000 27.6059
29100 27.6088
29200 27.6068
29300 27.6155
29400 27.6243
29500 27.6407
29600 27.6484
29700 27.6525
29800 27.6417
29900 27.6305
30000 27.6203
30100 27.5931
30200 27.577
30300 27.5842
30400 27.6137
30500 27.6339
30600 27.63
30700 27.6444
30800 27.6481
30900 27.6519
31000 27.6546
31100 27.6587
31200 27.6565
31300 27.6418
31400 27.6403
31500 27.6208
31600 27.6242
31700 27.6111
31800 27.614
31900 27.6331
32000 27.6371
32100 27.6431
32200 27.6309
32300 27.6263
32400 27.6288
32500 27.6345
32600 27.6295
32700 27.6273
32800 27.6279
32900 27.6233
33000 27.6307
33100 27.6423
33200 27.623
33300 27.5912
33400 27.5718
33500 27.5523
33600 27.5413
33700 27.5366
33800 27.5156
33900 27.5374
34000 27.5535
34100 27.558
34200 27.5631
34300 27.5665
34400 27.5517
34500 27.5559
34600 27.5528
34700 27.5598
34800 27.5703
34900 27.5817
35000 27.5821
35100 27.5914
35200 27.5915
35300 27.5935
35400 27.5805
35500 27.5936
35600 27.599
35700 27.6005
35800 27.5981
35900 27.5964
36000 27.5977
36100 27.5895
36200 27.5849
36300 27.5705
36400 27.5387
36500 27.5448
36600 27.5419
36700 27.5482
36800 27.5363
36900 27.5501
37000 27.5584
37100 27.5498
37200 27.5616
37300 27.5765
37400 27.5773
37500 27.5906
37600 27.5949
37700 27.5938
37800 27.6082
37900 27.616
38000 27.6021
38100 27.5934
38200 27.5956
38300 27.6027
38400 27.6125
38500 27.6266
38600 27.6324
38700 27.6408
38800 27.6422
38900 27.6128
39000 27.594
39100 27.5714
39200 27.5822
39300 27.5831
39400 27.5853
39500 27.5792
39600 27.5757
39700 27.5707
39800 27.5853
39900 27.5775
40000 27.5842
40100 27.5788
40200 27.5717
40300 27.5672
40400 27.5711
40500 27.5944
40600 27.6094
40700 27.6012
40800 27.5844
40900 27.5826
41000 27.5802
41100 27.5935
41200 27.613
41300 27.6318
41400 27.6174
41500 27.6062
41600 27.6234
41700 27.6233
41800 27.617
41900 27.6077
42000 27.5975
42100 27.5904
42200 27.6056
42300 27.6096
42400 27.6067
42500 27.5937
42600 27.5813
42700 27.5907
42800 27.5859
42900 27.5887
43000 27.5992
43100 27.5928
43200 27.586
43300 27.592
43400 27.6006
43500 27.6053
43600 27.5963
43700 27.5966
43800 27.6181
43900 27.6322
44000 27.6484
44100 27.6712
44200 27.6652
44300 27.6555
44400 27.6446
44500 27.6359
44600 27.6521
44700 27.6724
44800 27.6807
44900 27.6861
45000 27.686
45100 27.6737
45200 27.6518
45300 27.6658
45400 27.6864
45500 27.6975
45600 27.6994
45700 27.709
45800 27.7049
45900 27.7362
46000 27.7509
46100 27.7603
46200 27.7645
46300 27.7673
46400 27.7539
46500 27.7476
46600 27.7493
46700 27.7458
46800 27.7472
46900 27.7434
47000 27.7357
47100 27.7262
47200 27.7232
47300 27.7381
47400 27.7432
47500 27.7302
47600 27.7186
47700 27.7058
47800 27.7202
47900 27.7221
48000 27.7256
48100 27.7368
48200 27.7173
48300 27.717
48400 27.7244
48500 27.7263
48600 27.7327
48700 27.7313
48800 27.7286
48900 27.7476
49000 27.7553
49100 27.7484
49200 27.7523
49300 27.7428
49400 27.7214
49500 27.7042
49600 27.7064
49700 27.6902
49800 27.6916
49900 27.6831
50000 27.6883
50100 27.6864
50200 27.6935
50300 27.6935
50400 27.6764
50500 27.6581
50600 27.6688
50700 27.681
50800 27.6834
50900 27.6838
51000 27.6811
51100 27.6776
51200 27.6647
51300 27.6536
51400 27.6796
51500 27.677
51600 27.6639
51700 27.6481
51800 27.6206
51900 27.6066
52000 27.5911
52100 27.5753
52200 27.577
52300 27.574
52400 27.5839
52500 27.5971
52600 27.6259
52700 27.6515
52800 27.6644
52900 27.6527
53000 27.6644
53100 27.6736
53200 27.6741
53300 27.6755
53400 27.68
53500 27.6851
53600 27.6934
53700 27.6736
53800 27.6544
53900 27.6501
54000 27.6522
54100 27.6608
54200 27.6754
54300 27.6816
54400 27.6934
54500 27.7064
54600 27.695
54700 27.6833
54800 27.6672
54900 27.6822
55000 27.6985
55100 27.7022
55200 27.6887
55300 27.6924
55400 27.7012
55500 27.705
55600 27.7
55700 27.6963
55800 27.6899
55900 27.7003
56000 27.7042
56100 27.7124
56200 27.7108
56300 27.6959
56400 27.6759
56500 27.6654
56600 27.6748
56700 27.6744
56800 27.6772
56900 27.6637
57000 27.6608
57100 27.671
57200 27.6793
57300 27.6856
57400 27.6804
57500 27.6784
57600 27.683
57700 27.6697
57800 27.6471
57900 27.6255
58000 27.6327
58100 27.6321
58200 27.6312
58300 27.6291
58400 27.6371
58500 27.6422
58600 27.6853
58700 27.6977
58800 27.7142
58900 27.7553
59000 27.7809
59100 27.7915
59200 27.7754
59300 27.7665
59400 27.7621
59500 27.771
59600 27.7847
59700 27.8002
59800 27.8257
59900 27.8467
60000 27.8699
60100 27.8814
60200 27.8888
60300 27.8949
60400 27.8987
60500 27.877
60600 27.8791
60700 27.8683
60800 27.8653
60900 27.8618
61000 27.8619
61100 27.8644
61200 27.8561
61300 27.8648
61400 27.8423
61500 27.8305
61600 27.8302
61700 27.8084
61800 27.8195
61900 27.8302
62000 27.8377
62100 27.8404
62200 27.8598
62300 27.881
62400 27.9032
62500 27.9131
62600 27.922
62700 27.9192
62800 27.9012
62900 27.8912
63000 27.8819
63100 27.875
63200 27.88
63300 27.8773
63400 27.857
63500 27.8502
63600 27.8419
63700 27.8279
63800 27.8339
63900 27.8183
64000 27.8209
