# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
39900 55.3262
40000 55.8554
40100 55.9597
40200 56.2618
40300 56.6333
40400 56.9607
40500 57.2496
40600 57.4044
40700 57.709
40800 57.7022
40900 58.0278
41000 58.2138
41100 58.4208
41200 58.5976
41300 58.5354
41400 58.6039
41500 58.8439
41600 59.3633
41700 59.6892
41800 59.8356
41900 60.1162
42000 60.3981
42100 60.6133
42200 60.7681
42300 60.8043
42400 61.0396
42500 61.3255
42600 61.5331
42700 61.8404
42800 61.9423
42900 62.2444
43000 62.4421
43100 62.6886
43200 63.2512
43300 63.6883
43400 64.4189
43500 64.4497
43600 64.0434
43700 64.3833
43800 64.7256
43900 64.942
44000 65.0657
44100 65.2713
44200 65.3561
44300 65.7888
44400 66.2672
44500 66.7344
44600 66.6853
44700 66.7293
44800 67.1845
44900 67.5684
45000 67.7955
45100 68.2735
45200 68.7869
45300 69.2401
45400 69.2523
45500 69.1032
45600 68.8333
45700 69.0936
45800 69.4788
45900 69.7916
46000 70.2225
46100 70.3814
46200 70.4607
46300 70.5897
46400 70.7965
46500 70.6772
46600 71.0535
46700 70.9759
46800 71.1569
46900 71.4449
47000 71.6853
47100 72.3378
47200 72.7872
47300 73.1623
47400 73.4668
47500 73.821
47600 73.7438
47700 73.3494
47800 73.0873
47900 72.8974
48000 72.8604
48100 73.1172
48200 73.6029
48300 74.3322
48400 74.7073
48500 75.2265
48600 75.6682
48700 75.8322
48800 76.3298
48900 76.7052
49000 77.3666
49100 77.6616
49200 78.0385
49300 78.5714
49400 78.9878
49500 79.313
49600 79.4655
49700 79.689
49800 79.7547
49900 79.7951
50000 80.0675
50100 80.3814
50200 80.8366
50300 80.9583
50400 80.8585
50500 80.634
50600 80.7652
50700 80.7255
50800 80.9539
50900 81.0451
51000 81.3307
51100 81.7969
51200 82.0243
51300 82.2203
51400 82.4736
51500 82.6358
51600 82.9493
51700 83.0115
51800 83.0666
51900 83.6072
52000 84.3174
52100 84.6224
52200 84.3892
52300 84.1559
52400 84.3434
52500 84.3549
52600 84.2921
52700 84.0495
52800 84.0799
52900 83.967
53000 83.4775
53100 83.7473
53200 83.6396
53300 83.4221
53400 83.2929
53500 83.2054
53600 83.206
53700 83.3092
53800 83.5337
53900 83.3102
54000 83.3877
54100 83.5106
54200 83.7373
54300 83.886
54400 84.0379
54500 84.207
54600 84.3833
54700 84.1863
54800 84.1795
54900 83.799
55000 83.7438
55100 83.5542
55200 83.4608
55300 83.9274
55400 83.7955
55500 83.5605
55600 83.4394
55700 82.8761
55800 82.1778
55900 82.0222
56000 81.7057
56100 81.2817
56200 80.8706
56300 80.8856
56400 81.3415
56500 81.3553
56600 81.2658
56700 81.4476
56800 81.2497
56900 81.2068
57000 80.9998
57100 80.9
57200 81.0552
57300 81.2926
57400 81.3334
57500 81.1432
57600 81.1085
57700 81.4342
57800 81.8108
57900 81.8657
58000 81.5411
58100 81.5092
58200 81.5234
58300 81.6932
58400 81.6422
58500 81.3191
58600 81.1566
58700 81.6822
58800 81.5857
58900 81.2701
59000 81.5094
59100 81.7568
59200 81.6722
59300 81.7363
59400 81.8077
59500 82.0357
59600 82.1483
59700 82.0917
59800 82.0565
59900 81.9956
60000 81.6056
60100 81.2151
60200 81.3526
60300 81.3496
60400 81.4707
60500 81.637
60600 81.4617
60700 81.841
60800 82.2939
60900 82.5342
61000 82.5892
61100 82.7615
61200 82.9704
61300 83.0879
61400 83.1247
61500 83.1396
61600 83.1772
61700 82.9243
61800 82.5681
61900 82.6071
62000 82.9682
62100 83.2102
62200 83.4615
62300 83.5988
62400 83.301
62500 83.5603
62600 83.7487
62700 83.9728
62800 84.1764
62900 84.5754
63000 84.7842
63100 84.6512
63200 84.5159
63300 84.4055
63400 84.3046
63500 83.879
63600 83.2256
63700 82.7446
63800 83.0124
63900 83.2768
64000 83.4397
64100 83.6796
64200 83.8297
64300 83.619
64400 83.5919
64500 83.8879
64600 83.8729
64700 83.901
64800 84.068
64900 83.995
65000 84.2653
65100 84.2629
65200 84.2998
65300 84.1918
65400 84.2266
65500 84.9168
65600 85.4136
65700 85.7359
65800 85.9927
65900 86.1371
66000 86.4308
66100 86.7838
66200 86.7483
66300 86.6932
66400 86.7491
66500 86.8178
66600 86.9135
66700 87.3717
66800 87.6202
66900 87.549
67000 87.7918
67100 88.2936
67200 88.5245
67300 89.2018
67400 89.4373
67500 89.5511
67600 89.7222
67700 89.3456
67800 89.2535
67900 89.2289
68000 89.4973
68100 89.3926
68200 89.661
68300 89.9519
68400 89.8546
68500 89.6119
68600 89.793
68700 90.2785
68800 90.4138
68900 90.8889
69000 91.1203
69100 91.3323
69200 91.4124
69300 91.4865
69400 91.6416
69500 91.8568
69600 92.3327
69700 92.6731
69800 92.3712
69900 92.8176
70000 93.3145
70100 93.7947
70200 93.8124
70300 93.6692
70400 93.9328
70500 94.0565
70600 93.9796
70700 93.7157
70800 93.6999
70900 94.1097
71000 94.9492
71100 95.6072
71200 95.6618
71300 95.303
71400 95.7465
71500 96.0592
71600 96.3868
71700 96.328
71800 95.9927
71900 96.2559
72000 96.716
72100 97.1166
72200 97.8915
72300 98.4011
72400 98.5009
72500 98.9
72600 99.4268
72700 99.8313
72800 99.9231
72900 99.9118
73000 99.941
73100 100.676
73200 101.151
73300 101.565
73400 101.504
73500 101.163
73600 100.995
73700 100.858
73800 101.095
73900 100.932
74000 101.278
74100 101.669
74200 101.332
74300 101.309
74400 101.389
74500 101.364
74600 101.042
74700 100.717
74800 100.875
74900 101.105
75000 101.393
75100 100.972
75200 100.306
75300 100.105
75400 100.497
75500 100.718
75600 100.219
75700 100.177
75800 100.78
75900 100.803
76000 100.781
76100 100.458
