# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
40300 107.44
40400 107.692
40500 108.442
40600 108.619
40700 108.325
40800 108.136
40900 107.864
41000 107.106
41100 107.182
41200 107.164
41300 107.028
41400 107.013
41500 107.83
41600 108.415
41700 108.194
41800 108.116
41900 107.973
42000 108.423
42100 109.609
42200 110.066
42300 110.749
42400 111.411
42500 112.017
42600 111.763
42700 111.4
42800 111.272
42900 110.47
43000 110.274
43100 110.296
43200 109.747
43300 109.339
43400 110.157
43500 111
43600 110.764
43700 110.802
43800 111.197
43900 111.581
44000 111.055
44100 111.206
44200 111.173
44300 111.34
44400 111.934
44500 112.332
44600 111.864
44700 112.371
44800 112.734
44900 112.3
45000 112.087
45100 112.387
45200 113.251
45300 114.124
45400 115.087
45500 115.44
45600 115.94
45700 115.618
45800 115.902
45900 116.007
46000 115.873
46100 115.577
46200 115.841
46300 115.924
46400 116.032
46500 115.98
46600 115.93
46700 115.486
46800 115.721
46900 116.186
47000 116.088
47100 116.552
47200 116.835
47300 117.135
47400 117.006
47500 117.336
47600 118.309
47700 119.28
47800 120.149
47900 120.2
48000 120.293
48100 120.689
48200 120.429
48300 119.571
48400 118.848
48500 117.994
48600 117.383
48700 117.427
48800 117.834
48900 117.533
49000 117.304
49100 117.551
49200 117.518
49300 116.929
49400 116.548
49500 116.519
49600 116.595
49700 116.473
49800 116.349
49900 116.635
50000 116.44
50100 116.994
50200 117.53
50300 117.755
50400 117.951
50500 118.774
50600 118.412
50700 118.498
50800 118.784
50900 118.459
51000 117.767
51100 118.096
51200 119.097
51300 119.14
51400 119.027
51500 118.48
51600 118.127
51700 118.213
51800 118.282
51900 117.998
52000 117.27
52100 117.187
52200 117.278
52300 117.287
52400 117.258
52500 116.655
52600 116.337
52700 115.668
52800 115.147
52900 114.95
53000 114.599
53100 114.267
53200 114.455
53300 114.783
53400 114.734
53500 114.208
53600 114.238
53700 113.748
53800 113.216
53900 112.832
54000 113.009
54100 113.513
54200 113.693
54300 113.537
54400 113.53
54500 113.728
54600 113.543
54700 113.776
54800 113.425
54900 113.716
55000 113.856
55100 114.223
55200 114.194
55300 114.087
55400 114.244
55500 114.159
55600 114.153
55700 114.076
55800 114.246
55900 114.989
56000 115.197
56100 115.649
56200 115.921
56300 116.212
56400 117.1
56500 116.912
56600 116.83
56700 116.623
56800 116.826
56900 117.021
57000 117.344
57100 117.788
57200 118.392
57300 118.483
57400 118.752
57500 119.095
57600 118.513
57700 118.718
57800 118.73
57900 119.046
58000 118.877
58100 118.892
58200 119.69
58300 119.952
58400 120.363
58500 120.194
58600 120.074
