# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed4[4]
0 1.55815e-28
100 0.496998
200 1.0689
300 1.57167
400 2.04698
500 2.4412
600 2.8422
700 3.20928
800 3.58423
900 3.95918
1000 4.28956
1100 4.56445
1200 4.87061
1300 5.15744
1400 5.4034
1500 5.68418
1600 5.97837
1700 6.24533
1800 6.53228
1900 6.73067
2000 6.99636
2100 7.22804
2200 7.5028
2300 7.71176
2400 7.94584
2500 8.26978
2600 8.51961
2700 8.74471
2800 8.98349
2900 9.1223
3000 9.31909
3100 9.53105
3200 9.74482
3300 9.90545
3400 10.1382
3500 10.3826
3600 10.6027
3700 10.8018
3800 10.9083
3900 11.0014
4000 11.0742
4100 11.1828
4200 11.2246
4300 11.2952
4400 11.4337
4500 11.6282
4600 11.8096
4700 11.9447
4800 12.1991
4900 12.274
5000 12.309
5100 12.3192
5200 12.28
5300 12.3901
5400 12.4646
5500 12.6451
5600 12.8089
5700 13.0015
5800 13.149
5900 13.3681
6000 13.5933
6100 13.699
6200 13.7725
6300 13.8724
6400 13.9505
6500 13.9428
6600 13.9434
6700 14.0783
6800 14.1158
6900 14.167
7000 14.1596
7100 14.318
7200 14.5542
7300 14.8446
7400 15.0284
7500 15.1622
7600 15.2916
7700 15.4198
7800 15.6628
7900 15.8173
8000 15.9949
8100 16.2315
8200 16.4663
8300 16.6277
8400 16.686
8500 16.8342
8600 16.9507
8700 17.0583
8800 17.257
8900 17.3629
9000 17.4844
9100 17.6503
9200 17.9389
9300 18.0499
9400 18.16
9500 18.2869
9600 18.4448
9700 18.6237
9800 18.7508
9900 18.9094
10000 19.093
10100 19.2633
10200 19.5202
10300 19.817
10400 20.0289
10500 20.1935
10600 20.2264
10700 20.2657
10800 20.2635
10900 20.3579
11000 20.4063
11100 20.4065
11200 20.4959
11300 20.5703
11400 20.7586
11500 20.8022
11600 20.7453
11700 20.6821
11800 20.6728
11900 20.5478
12000 20.4768
12100 20.5306
12200 20.5767
12300 20.6965
12400 20.8344
12500 21.0125
12600 21.1477
12700 21.2333
12800 21.2937
12900 21.1801
13000 21.1802
13100 21.2889
13200 21.4936
13300 21.6703
13400 21.8628
13500 21.9986
13600 22.0555
13700 22.1301
13800 22.1461
13900 22.2329
14000 22.2396
14100 22.2619
14200 22.3304
14300 22.35
14400 22.4306
14500 22.5243
14600 22.6681
14700 22.7123
14800 22.8324
14900 22.9395
15000 22.9781
15100 23.0539
15200 23.0789
15300 23.1084
15400 23.2489
15500 23.3161
15600 23.5057
15700 23.8719
15800 24.0827
15900 24.104
16000 24.2241
16100 24.4015
16200 24.4879
16300 24.5666
16400 24.6401
16500 24.766
16600 24.8577
16700 25.0096
16800 25.1101
16900 25.2978
17000 25.4005
17100 25.4187
17200 25.5036
17300 25.5887
17400 25.6664
17500 25.7762
17600 25.8759
17700 25.9867
17800 26.2903
17900 26.674
18000 26.955
18100 27.198
18200 27.4332
18300 27.5081
18400 27.7103
18500 27.9596
18600 28.219
18700 28.2236
18800 28.2414
18900 28.4154
19000 28.4765
19100 28.257
19200 28.1998
19300 28.2231
19400 28.2487
19500 28.2848
19600 28.3781
19700 28.4965
19800 28.6007
19900 28.6724
20000 28.7068
20100 28.8642
20200 29.0018
20300 29.107
20400 29.2646
20500 29.3709
20600 29.5378
20700 29.8305
20800 30.1937
20900 30.5412
21000 30.8222
21100 31.0537
21200 31.1799
21300 31.1965
21400 31.2765
21500 31.4444
21600 31.5359
21700 31.6944
21800 31.8305
21900 31.9107
22000 31.8985
22100 31.7664
22200 31.5669
22300 31.5782
22400 31.6007
22500 31.63
22600 31.4731
22700 31.4465
22800 31.4537
22900 31.5629
23000 31.8091
23100 31.9515
23200 32.0178
23300 32.0688
23400 32.3605
23500 32.6313
23600 32.688
23700 32.6084
23800 32.6195
23900 32.6593
24000 32.8732
24100 33.2065
24200 33.2664
24300 33.3703
24400 33.6276
24500 33.8727
24600 34.0769
24700 34.3776
24800 34.4717
24900 34.4612
25000 34.5876
25100 34.6508
25200 34.6574
25300 34.8413
25400 34.9454
25500 35.1139
25600 35.2737
25700 35.3503
25800 35.5725
25900 35.6738
26000 35.6411
26100 35.6373
26200 35.8882
26300 36.0463
26400 35.9548
26500 36.0734
26600 36.2348
26700 36.1528
26800 36.3157
26900 36.3286
27000 36.3647
27100 36.4859
27200 36.5883
27300 36.6881
27400 36.8138
27500 37.0554
27600 37.2667
27700 37.4666
27800 37.3931
27900 37.5052
28000 37.5837
28100 37.7451
28200 37.8411
28300 38.2113
28400 38.4933
28500 38.5669
28600 38.8543
28700 39.0935
28800 39.087
28900 39.1165
29000 39.4066
29100 39.5967
29200 39.8006
29300 39.8494
29400 39.8591
29500 39.8449
29600 39.7988
29700 39.8709
29800 40.0332
29900 40.2188
30000 40.481
30100 40.6459
30200 40.7491
30300 40.7967
30400 40.7768
30500 40.7074
30600 40.6536
30700 40.6273
30800 40.6551
30900 40.6999
31000 40.7563
31100 40.8652
31200 41.0274
31300 41.2184
31400 41.3266
31500 41.2077
31600 41.0862
31700 41.206
31800 41.1833
31900 41.1924
32000 41.2379
32100 41.1072
32200 41.264
32300 41.4705
32400 41.7826
32500 41.9896
32600 42.116
32700 42.1039
32800 42.0066
32900 41.9974
33000 42.2426
33100 42.457
33200 42.6031
33300 42.6309
33400 42.751
33500 42.9254
33600 42.9664
33700 43.0088
33800 42.9765
33900 43.0378
34000 43.1261
34100 43.095
34200 42.9711
34300 42.8627
34400 42.9351
34500 43.1201
34600 43.2076
34700 43.2494
34800 43.4292
34900 43.5399
35000 43.5154
35100 43.5955
35200 43.5323
35300 43.5676
35400 43.593
35500 43.7761
35600 43.9111
35700 43.8331
35800 43.9741
35900 44.0729
36000 44.2031
36100 44.1844
36200 44.2761
36300 44.3734
36400 44.5064
36500 44.6608
36600 44.8541
36700 45.0428
36800 45.2738
36900 45.4529
37000 45.4617
37100 45.4586
37200 45.6473
37300 45.8128
37400 46.3058
37500 46.4824
37600 46.5947
37700 46.7326
37800 46.6901
37900 46.8253
38000 47.0104
38100 47.3872
38200 47.8335
38300 48.0604
38400 48.1012
38500 48.0504
38600 48.2304
38700 48.3925
38800 48.4361
38900 48.5655
39000 48.6382
39100 48.6588
39200 48.7083
39300 48.5171
39400 48.5302
39500 48.7179
39600 48.9815
39700 49.0775
39800 49.1242
39900 49.1781
40000 49.0169
40100 48.801
40200 48.4871
40300 48.4274
40400 48.4241
40500 48.5003
40600 48.6339
40700 48.5557
40800 48.3761
40900 48.1532
41000 47.9278
41100 47.6688
41200 47.5209
41300 47.4409
41400 47.3667
41500 47.4339
41600 47.4711
41700 47.3142
41800 47.361
41900 47.5176
42000 47.69
42100 47.72
42200 47.5334
42300 47.2785
42400 47.2113
42500 47.1603
42600 47.0584
42700 47.0361
42800 46.9795
42900 46.9735
43000 46.9887
43100 46.9974
43200 47.2155
43300 47.2308
43400 47.2742
43500 47.4251
43600 47.3186
43700 47.1422
43800 47.3345
43900 47.5834
44000 47.6434
44100 48.0907
44200 48.3559
44300 48.516
44400 48.5535
44500 48.6266
44600 48.6127
44700 48.6833
44800 49.1035
44900 49.2649
45000 49.4632
45100 49.5559
45200 49.5911
45300 49.3628
45400 49.1464
45500 49.1303
45600 49.2067
45700 49.1546
45800 49.2857
45900 49.3227
46000 49.447
46100 49.5845
46200 49.7864
46300 50.0199
46400 50.3454
46500 50.596
46600 50.8405
46700 50.6671
46800 50.378
46900 50.3455
47000 50.3916
47100 50.6915
47200 50.8528
47300 50.9258
47400 50.8772
47500 50.8411
47600 50.9377
47700 51.1024
47800 51.2794
47900 51.4465
48000 51.5535
48100 51.5968
48200 51.7398
48300 51.9854
48400 52.0238
48500 52.1251
48600 52.2002
48700 52.2363
48800 52.2126
48900 52.374
49000 52.6513
49100 53.0204
49200 53.2314
49300 53.4521
49400 53.5452
49500 53.7231
49600 53.7511
49700 53.9091
49800 54.1444
49900 54.3405
50000 54.3488
50100 54.5839
50200 54.6871
50300 54.7924
50400 54.9135
50500 55.1052
50600 55.1318
50700 55.1866
50800 55.4399
50900 55.5243
51000 55.6906
51100 56.042
51200 56.4444
51300 56.7617
51400 57.0211
51500 57.4141
51600 57.6573
51700 57.6733
51800 57.811
51900 57.7401
52000 57.4832
52100 57.3539
52200 57.308
52300 57.3696
52400 57.3425
52500 57.3987
52600 57.5036
52700 57.6754
52800 57.8223
52900 58.1944
53000 58.33
53100 58.3602
53200 58.3002
53300 58.3334
53400 58.3359
53500 58.06
53600 57.9424
53700 57.9152
53800 57.9302
53900 57.7895
54000 57.5089
54100 57.5739
54200 57.8329
54300 57.881
54400 58.037
54500 58.3274
54600 58.4657
54700 58.5219
54800 58.6325
54900 58.7599
55000 58.8339
55100 58.6749
55200 58.6669
55300 58.574
55400 58.6189
55500 58.5878
55600 58.6517
55700 59.0411
55800 59.2588
55900 59.4691
56000 59.6848
56100 59.9637
56200 60.3387
56300 60.423
56400 60.4264
56500 60.2464
56600 60.3296
56700 60.3952
56800 60.5909
56900 60.4986
57000 60.5626
57100 60.3704
57200 60.1735
