# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed2[4]
0 2.18382e-28
100 0.511992
200 1.1229
300 1.67007
400 2.15118
500 2.5408
600 2.95089
700 3.29549
800 3.67731
900 4.01215
1000 4.31083
1100 4.5981
1200 4.86916
1300 5.14622
1400 5.42217
1500 5.67222
1600 5.90152
1700 6.20045
1800 6.45736
1900 6.6867
2000 6.97063
2100 7.26716
2200 7.52976
2300 7.72233
2400 7.88619
2500 8.08547
2600 8.31105
2700 8.51229
2800 8.63149
2900 8.74024
3000 8.82977
3100 9.03723
3200 9.16272
3300 9.32729
3400 9.49799
3500 9.6994
3600 10.0183
3700 10.2448
3800 10.4263
3900 10.6633
4000 10.8451
4100 11.0958
4200 11.3245
4300 11.4652
4400 11.5565
4500 11.6337
4600 11.7263
4700 11.8356
4800 11.9521
4900 12.0661
5000 12.249
5100 12.386
5200 12.5456
5300 12.6552
5400 12.7315
5500 12.8388
5600 13.0223
5700 13.2566
5800 13.373
5900 13.6454
6000 13.8377
6100 13.9591
6200 13.9329
6300 13.9409
6400 13.9495
6500 14.0336
6600 14.1978
6700 14.4009
6800 14.5172
6900 14.6115
7000 14.7774
7100 14.8656
7200 14.9771
7300 15.1712
7400 15.3952
7500 15.7446
7600 15.9773
7700 16.2899
7800 16.534
7900 16.5962
8000 16.7692
8100 16.8467
8200 17.0772
8300 17.2241
8400 17.3303
8500 17.5026
8600 17.6122
8700 17.7935
8800 18.1017
8900 18.1846
9000 18.1524
9100 18.1998
9200 18.262
9300 18.2347
9400 18.1897
9500 18.288
9600 18.5338
9700 18.7119
9800 18.877
9900 19.0517
10000 19.2846
10100 19.3902
10200 19.4462
10300 19.4596
10400 19.4502
10500 19.5633
10600 19.6069
10700 19.6467
10800 19.7128
10900 19.8467
11000 20.0901
11100 20.3793
11200 20.6691
11300 20.8253
11400 20.9934
11500 21.1198
11600 21.3254
11700 21.4783
11800 21.671
11900 21.9281
12000 22.0522
12100 22.1622
12200 22.2728
12300 22.3926
12400 22.6155
12500 22.7401
12600 22.8405
12700 23.0563
12800 23.2383
12900 23.303
13000 23.4429
13100 23.5703
13200 23.6767
13300 23.8454
13400 23.984
13500 24.1185
13600 24.3435
13700 24.6663
13800 24.8612
13900 25.0063
14000 24.959
14100 24.9482
14200 24.9432
14300 25.079
14400 25.2343
14500 25.2161
14600 25.2392
14700 25.2594
14800 25.2195
14900 25.2588
15000 25.1652
15100 25.1809
15200 25.1312
15300 25.1823
15400 25.3401
15500 25.4931
15600 25.3778
15700 25.3241
15800 25.3384
15900 25.4017
16000 25.3344
16100 25.332
16200 25.422
16300 25.5634
16400 25.5766
16500 25.7246
16600 25.7686
16700 25.923
16800 25.9643
16900 25.967
17000 25.8649
17100 26.0053
17200 26.1123
17300 26.2034
17400 26.4289
17500 26.5675
17600 26.6158
17700 26.6619
17800 26.6381
17900 26.7439
18000 26.8936
18100 26.7921
18200 26.6783
18300 26.6889
18400 26.8205
18500 26.967
18600 27.0628
18700 27.1397
18800 27.0834
18900 26.9769
19000 26.9506
19100 27.0703
19200 27.1616
19300 27.2633
19400 27.3797
19500 27.583
19600 27.867
19700 28.2318
19800 28.4809
19900 28.6306
20000 28.7549
20100 28.9201
20200 29.0301
20300 29.1922
20400 29.3301
20500 29.4856
20600 29.6025
20700 29.6515
20800 29.7291
20900 29.9739
21000 30.1765
21100 30.328
21200 30.5422
21300 30.7468
21400 30.8749
21500 30.8742
21600 30.9366
21700 31.0236
21800 31.1182
21900 31.1954
22000 31.2581
22100 31.4868
22200 31.744
22300 32.0125
22400 32.228
22500 32.4998
22600 32.6924
22700 32.859
22800 33.1848
22900 33.4274
23000 33.6509
23100 33.8055
23200 33.9136
23300 34.0842
23400 34.2595
23500 34.3394
23600 34.3219
23700 34.4197
23800 34.4827
23900 34.5812
24000 34.5794
24100 34.6165
24200 34.7082
24300 34.7568
24400 34.8154
24500 34.9149
24600 34.9084
24700 34.7724
24800 34.6663
24900 34.6151
25000 34.8127
25100 34.9998
25200 35.1961
25300 35.2682
25400 35.2457
25500 35.1871
25600 35.1664
25700 35.2958
25800 35.5705
25900 35.7033
26000 35.7628
26100 35.7503
26200 35.7238
26300 35.7721
26400 35.7949
26500 35.9447
26600 36.0079
26700 36.1288
26800 36.2661
26900 36.3987
27000 36.5501
27100 36.5805
27200 36.5077
27300 36.4104
27400 36.3615
27500 36.506
27600 36.539
27700 36.553
27800 36.6661
27900 37.0284
28000 37.1357
28100 37.2905
28200 37.3781
28300 37.6476
28400 38.034
28500 38.3247
28600 38.4833
28700 38.5922
28800 38.8045
28900 38.8679
29000 39.0084
29100 39.1295
29200 39.2244
29300 39.4345
29400 39.5832
29500 39.6574
29600 39.8137
29700 39.8776
29800 40.0062
29900 40.0301
30000 40.0706
30100 40.1233
30200 40.1579
30300 40.292
30400 40.4542
30500 40.5459
30600 40.6598
30700 40.5158
30800 40.4377
30900 40.4791
31000 40.7596
31100 40.8001
31200 40.8013
31300 40.9925
31400 41.363
31500 41.6327
31600 41.7939
31700 41.8256
31800 41.754
31900 41.976
32000 42.2069
32100 42.3329
32200 42.3504
32300 42.4127
32400 42.3566
32500 42.3015
32600 42.3819
32700 42.4506
32800 42.5166
32900 42.5362
33000 42.52
33100 42.5042
33200 42.5604
33300 42.674
33400 42.7514
33500 42.8643
33600 43.0777
33700 43.3666
33800 43.4211
33900 43.4731
34000 43.5201
34100 43.5564
34200 43.6393
34300 43.7654
34400 43.9793
34500 44.1698
34600 44.3284
34700 44.383
34800 44.4568
34900 44.5893
35000 44.8981
35100 45.2901
35200 45.4931
35300 45.5788
35400 45.8699
35500 46.0769
35600 46.2316
35700 46.5889
35800 47.0746
35900 47.5365
36000 47.6837
36100 47.9204
36200 48.0264
36300 48.0784
36400 48.0716
36500 48.2418
36600 48.2939
36700 48.1736
36800 48.3139
36900 48.3308
37000 48.2976
37100 48.2398
37200 48.3514
37300 48.4312
37400 48.6101
37500 48.8224
37600 49.163
37700 49.5349
37800 49.8467
37900 49.8292
38000 49.8698
38100 49.8079
38200 49.7277
38300 49.4547
38400 49.406
38500 49.3288
38600 49.2433
38700 49.2176
38800 49.1478
38900 49.2581
39000 49.3357
39100 49.368
39200 49.4073
39300 49.4509
39400 49.4891
39500 49.4578
39600 49.4146
39700 49.5044
39800 49.2928
39900 49.3
40000 49.3031
40100 49.3421
