# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_1[4]
40500 110.49
40600 110.708
40700 110.958
40800 111.437
40900 111.604
41000 112.148
41100 112.364
41200 112.47
41300 112.413
41400 112.155
41500 112.278
41600 112.597
41700 112.628
41800 112.537
41900 112.581
42000 112.52
42100 112.824
42200 113.41
42300 114.111
42400 114.603
42500 115.151
42600 115.725
42700 116.138
42800 116.605
42900 116.968
43000 117.179
43100 117.492
43200 117.56
43300 117.553
43400 117.859
43500 117.786
43600 117.895
43700 118.09
43800 118.037
43900 118.013
44000 118.108
44100 118.573
44200 119.064
44300 119.482
44400 119.748
44500 119.825
44600 120.003
44700 120.546
44800 120.855
44900 120.931
45000 121.109
45100 121.479
45200 121.773
45300 122.276
45400 122.747
45500 123.116
45600 123.059
45700 123.043
45800 122.722
45900 122.799
46000 122.391
46100 122.673
46200 122.849
46300 123.303
46400 123.536
46500 123.512
46600 123.555
46700 123.545
46800 123.665
46900 124.168
47000 124.138
47100 123.999
47200 123.819
47300 123.897
47400 123.795
47500 123.796
47600 124.042
47700 124.315
47800 124.184
47900 124.234
48000 124.494
48100 124.769
48200 125.067
48300 125.44
48400 125.406
48500 125.43
48600 125.411
48700 125.632
48800 125.483
48900 125.509
49000 125.737
49100 125.876
49200 126.137
49300 126.662
49400 126.974
49500 126.954
49600 127.287
49700 127.426
49800 127.437
49900 127.362
50000 127.503
50100 127.872
50200 128.112
50300 128.306
50400 128.331
50500 128.703
50600 129.324
50700 129.512
50800 129.766
50900 130.232
51000 130.489
51100 130.507
51200 130.424
51300 130.11
51400 129.864
51500 130.072
51600 130.391
51700 130.63
51800 130.828
51900 130.836
52000 130.716
52100 130.992
52200 131.343
52300 131.351
52400 131.288
52500 131.436
52600 132.194
52700 132.956
52800 133.82
52900 134.415
53000 134.728
53100 135.011
53200 135.152
53300 135.265
53400 135.339
53500 135.713
53600 136.079
53700 136.326
53800 136.897
53900 137.216
54000 137.196
54100 137.457
54200 137.829
54300 138.305
54400 138.586
54500 138.689
54600 138.824
54700 139.14
54800 139.678
54900 140.158
55000 140.294
55100 139.745
55200 139.234
55300 138.885
55400 139.028
55500 139.1
55600 139.304
55700 139.533
55800 139.721
55900 139.712
56000 139.867
56100 140.024
56200 140.373
56300 140.69
56400 141.026
56500 140.988
56600 140.985
56700 141.287
56800 141.577
