# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed1[4]
0 1.31085e-28
100 0.516044
200 1.11794
300 1.63088
400 2.08927
500 2.48656
600 2.89204
700 3.27696
800 3.60791
900 3.96163
1000 4.31186
1100 4.69126
1200 4.98757
1300 5.18119
1400 5.40147
1500 5.70162
1600 5.92588
1700 6.16146
1800 6.44108
1900 6.77143
2000 7.05637
2100 7.3406
2200 7.57122
2300 7.7649
2400 7.94693
2500 8.22118
2600 8.46524
2700 8.7142
2800 8.9254
2900 9.08637
3000 9.25636
3100 9.39655
3200 9.56689
3300 9.70543
3400 9.87176
3500 9.93427
3600 10.0227
3700 10.184
3800 10.285
3900 10.576
4000 10.8296
4100 11.0642
4200 11.3411
4300 11.5356
4400 11.7808
4500 11.973
4600 12.2017
4700 12.3026
4800 12.3051
4900 12.388
5000 12.5813
5100 12.7153
5200 12.8915
5300 12.9768
5400 13.092
5500 13.1229
5600 13.2217
5700 13.4124
5800 13.4859
5900 13.5736
6000 13.7355
6100 14.0079
6200 14.3731
6300 14.6162
6400 14.759
6500 14.9527
6600 15.1401
6700 15.3672
6800 15.5071
6900 15.5982
7000 15.7728
7100 15.8679
7200 15.9233
7300 15.9683
7400 16.1393
7500 16.3276
7600 16.5012
7700 16.6396
7800 16.6968
7900 16.8252
8000 16.9484
8100 17.0293
8200 17.1244
8300 17.3304
8400 17.6091
8500 17.6794
8600 17.7861
8700 17.9333
8800 17.9958
8900 18.1724
9000 18.3028
9100 18.3032
9200 18.3711
9300 18.4778
9400 18.6168
9500 18.6693
9600 18.6566
9700 18.7412
9800 18.857
9900 18.963
10000 19.0907
10100 19.2169
10200 19.4251
10300 19.5787
10400 19.7128
10500 19.7482
10600 19.8883
10700 20.0405
10800 20.1673
10900 20.3317
11000 20.4794
11100 20.6707
11200 20.8562
11300 21.0502
11400 21.1428
11500 21.1216
11600 21.2413
11700 21.331
11800 21.5113
11900 21.6148
12000 21.7583
12100 21.9481
12200 22.1073
12300 22.2633
12400 22.3453
12500 22.5319
12600 22.7223
12700 22.8567
12800 23.0321
12900 23.2686
13000 23.5061
13100 23.6896
13200 23.7037
13300 23.7185
13400 23.8405
13500 23.8403
13600 23.9166
13700 24.0762
13800 24.1163
13900 24.3085
14000 24.5299
14100 24.649
14200 24.7888
14300 24.7802
14400 24.9613
14500 25.1516
14600 25.3278
14700 25.5038
14800 25.6537
14900 25.8037
15000 25.8882
15100 26.0176
15200 26.1143
15300 26.1615
15400 26.2877
15500 26.3608
15600 26.3376
15700 26.2645
15800 26.2351
15900 26.2189
16000 26.3032
16100 26.4565
16200 26.5926
16300 26.6258
16400 26.5274
16500 26.5142
16600 26.5144
16700 26.5012
16800 26.4968
16900 26.5423
17000 26.5856
17100 26.7017
17200 26.9473
17300 27.2111
17400 27.4649
17500 27.6412
17600 27.7348
17700 27.8673
17800 27.9182
17900 27.9482
18000 28.06
18100 27.9897
18200 27.9123
18300 28.0614
18400 28.3833
18500 28.8914
18600 29.2414
18700 29.2991
18800 29.2715
18900 29.381
19000 29.4946
19100 29.6402
19200 29.7473
19300 29.7945
19400 29.7991
19500 29.7377
19600 29.7864
19700 29.7588
19800 29.8648
19900 29.8009
20000 29.9793
20100 30.1716
20200 30.2681
20300 30.2421
20400 30.2987
20500 30.3668
20600 30.4051
20700 30.4562
20800 30.6561
20900 30.9732
21000 31.0122
21100 31.1383
21200 31.3521
21300 31.43
21400 31.5758
21500 31.7113
21600 31.8954
21700 32.2566
21800 32.4482
21900 32.6282
22000 32.8371
22100 32.9202
22200 32.8956
22300 33.008
22400 32.9821
22500 32.9525
22600 32.8365
22700 32.8784
22800 32.9671
22900 32.8506
23000 32.7992
23100 32.8782
23200 32.7327
23300 32.6779
23400 32.7207
23500 32.7724
23600 32.8065
23700 33.0768
23800 33.4359
23900 33.7514
24000 34.0009
24100 34.2816
24200 34.4678
24300 34.4942
24400 34.3946
24500 34.4479
24600 34.6558
24700 34.7511
24800 34.9709
24900 35.2073
25000 35.384
25100 35.4831
25200 35.6248
25300 35.6711
25400 35.7898
25500 35.8634
25600 35.8648
25700 35.9822
25800 36.2491
25900 36.5374
26000 36.7558
26100 36.8536
26200 37.0693
26300 37.1729
26400 37.6137
26500 37.8602
26600 38.0933
26700 38.2238
26800 38.2591
26900 38.3366
27000 38.43
27100 38.4454
27200 38.3863
27300 38.4392
27400 38.376
27500 38.442
27600 38.4299
27700 38.4775
27800 38.6733
27900 38.7197
28000 38.6423
