# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
0 4.20989e-29
100 0.288664
200 0.621005
300 0.931475
400 1.19646
500 1.42768
600 1.67783
700 1.93966
800 2.10046
900 2.2227
1000 2.4079
1100 2.58262
1200 2.74968
1300 2.9024
1400 3.11402
1500 3.28756
1600 3.42327
1700 3.52264
1800 3.61546
1900 3.70131
2000 3.82799
2100 3.92298
2200 4.17671
2300 4.45138
2400 4.76355
2500 5.08817
2600 5.33458
2700 5.5343
2800 5.69151
2900 5.86759
3000 6.15016
3100 6.41149
3200 6.61821
3300 6.8075
3400 6.9464
3500 7.14918
3600 7.30975
3700 7.44108
3800 7.6069
3900 7.69676
4000 7.85588
4100 7.92773
4200 8.08731
4300 8.20441
4400 8.38468
4500 8.46579
4600 8.54374
4700 8.71239
4800 8.90639
4900 9.06565
5000 9.22321
5100 9.26369
5200 9.39348
5300 9.59357
5400 9.81758
5500 10.0471
5600 10.2492
5700 10.5465
5800 10.9456
5900 11.1325
6000 11.3662
6100 11.6057
6200 11.9249
6300 12.1465
6400 12.3004
6500 12.2571
6600 12.2935
6700 12.4297
6800 12.624
6900 12.6283
7000 12.7
7100 12.852
7200 13.0303
7300 13.1364
7400 13.4093
7500 13.6245
7600 13.8229
7700 14.0881
7800 14.3839
7900 14.3889
8000 14.4164
8100 14.6097
8200 14.7594
8300 14.9993
8400 15.3321
8500 15.7048
8600 16.0281
8700 16.43
8800 16.7293
8900 16.964
9000 17.1246
9100 17.292
9200 17.4441
9300 17.6243
9400 17.8998
9500 17.9936
9600 17.9792
9700 18.098
9800 18.2487
9900 18.6081
10000 18.7135
10100 18.907
10200 19.2369
10300 19.4299
10400 19.663
10500 20.0285
10600 20.2872
10700 20.345
10800 20.5081
10900 20.6617
11000 20.9231
11100 21.2227
11200 21.5689
11300 22.0927
11400 22.332
11500 22.5044
11600 22.8561
11700 23.0137
11800 23.1486
11900 23.3768
12000 23.5724
12100 23.8467
12200 24.2797
12300 24.5706
12400 24.944
12500 25.3796
12600 25.7468
12700 26.0209
12800 26.1886
12900 26.5052
13000 26.6452
13100 26.9928
13200 27.3927
13300 27.8563
13400 28.2237
13500 28.5989
13600 28.7776
13700 28.9656
13800 29.0863
13900 29.2421
14000 29.5118
14100 29.6405
14200 29.9485
14300 30.4521
14400 30.8848
14500 31.2324
14600 31.4208
14700 31.4673
14800 31.7731
14900 32.1808
15000 32.6163
15100 32.789
15200 33.107
15300 33.5952
15400 34.2471
15500 34.6235
15600 34.8424
15700 35.0175
15800 35.233
15900 35.6174
16000 35.6399
16100 35.8415
16200 36.081
16300 36.3544
16400 36.5761
16500 36.7355
16600 36.8472
16700 37.0607
16800 37.0643
16900 37.0693
17000 37.1979
17100 37.3341
17200 37.6225
17300 37.9014
17400 38.3145
17500 38.8719
17600 39.5052
17700 40.1274
17800 40.5728
17900 40.9905
18000 41.2612
18100 41.2078
18200 41.5038
18300 41.747
18400 41.7942
18500 41.7234
18600 41.8755
18700 41.9211
18800 42.199
18900 42.4311
19000 42.6958
19100 42.7261
19200 42.8967
19300 43.1945
19400 43.6241
19500 43.9318
19600 43.8381
19700 43.7901
19800 43.9916
19900 44.2537
20000 44.5894
20100 44.6092
20200 44.772
20300 44.9718
20400 45.0575
20500 45.0243
20600 44.9549
20700 44.8946
20800 44.8975
20900 45.0553
21000 45.1471
21100 45.3133
21200 45.5041
21300 45.8559
21400 46.0029
21500 45.9243
21600 45.9903
21700 46.3266
21800 46.2401
21900 46.0578
22000 45.9997
22100 45.8802
22200 45.9047
22300 45.715
22400 45.6563
22500 45.5835
22600 45.7198
22700 45.8748
22800 45.8728
22900 45.9907
23000 45.9745
23100 45.9696
23200 45.9781
23300 45.8534
23400 45.7378
23500 45.5546
23600 45.6478
23700 45.8583
23800 46.1685
23900 46.39
24000 46.5787
24100 46.8365
24200 47.2198
24300 47.5547
24400 47.9528
24500 48.1149
24600 48.2991
24700 48.5933
24800 48.6232
24900 48.4747
25000 48.7325
25100 48.9734
25200 48.7892
25300 48.9834
25400 49.303
25500 49.3543
25600 49.1091
25700 49.0401
25800 49.1222
25900 49.1045
26000 49.1496
26100 49.0371
26200 49.1638
26300 49.2921
26400 49.4284
26500 49.5279
26600 49.4908
26700 49.7586
26800 50.2161
26900 50.3406
27000 50.2378
27100 50.2641
27200 50.0555
27300 50.0508
27400 50.4085
27500 50.5988
27600 50.6401
27700 50.6902
27800 50.6852
27900 50.9291
28000 51.2897
28100 51.4764
28200 51.6695
28300 51.8728
28400 52.1385
28500 52.4153
28600 52.3515
28700 52.2123
28800 52.2718
28900 52.3606
29000 52.3868
29100 52.6699
29200 52.864
29300 53.0768
29400 53.1008
29500 53.1046
29600 53.1551
29700 53.3676
29800 53.581
29900 54.0035
30000 54.2559
30100 54.599
30200 54.5161
30300 54.5808
30400 54.6073
30500 54.5754
30600 54.7942
30700 54.5936
30800 54.6949
30900 54.822
31000 54.9445
31100 55.1185
31200 55.2899
31300 55.3733
31400 55.4351
31500 55.5366
31600 55.5505
31700 55.4923
31800 55.4492
31900 55.4671
32000 55.7405
32100 55.7295
32200 55.6794
32300 55.8225
32400 56.137
32500 56.5572
32600 56.4116
32700 56.4923
32800 56.496
32900 56.7451
33000 57.1631
33100 57.459
33200 57.4832
33300 57.629
33400 57.6332
33500 57.6555
33600 57.9447
33700 58.1561
33800 58.3742
33900 58.2323
34000 57.9322
34100 57.886
34200 57.8501
34300 57.7483
34400 57.968
34500 58.09
34600 58.1929
34700 58.3838
