# Time-averaged data for fix coulombic_energy
# TimeStep c_pe_coul c_pe_pair c_qtotal
19800 -248.669 -7502.48 0
19900 -248.201 -7500.32 0
20000 -246.555 -7445.63 0
20100 -248.984 -7491.71 0
20200 -248.025 -7457.99 0
20300 -246.689 -7449.45 0
20400 -249.175 -7452.53 0
20500 -249.412 -7496.96 0
20600 -248.416 -7470.53 0
20700 -249.519 -7528.76 0
20800 -248.263 -7515.86 0
20900 -248.353 -7523.83 0
21000 -249.765 -7492.49 0
21100 -248.496 -7531.97 0
21200 -247.113 -7471.68 0
21300 -246.578 -7548.83 0
21400 -245.565 -7530.5 0
21500 -248.318 -7546.64 0
21600 -248.799 -7565.52 0
21700 -249.391 -7537.27 0
21800 -246.86 -7519.41 0
21900 -248.181 -7479.83 0
22000 -246.46 -7470.76 0
22100 -246.29 -7482.24 0
22200 -247.494 -7594.81 0
22300 -245.366 -7580.57 0
22400 -246.059 -7548.7 0
22500 -246.167 -7526.43 0
22600 -245.602 -7495.87 0
22700 -243.727 -7508.16 0
22800 -243.482 -7627.21 0
22900 -239.623 -7609.59 0
23000 -239.688 -7598.26 0
23100 -240.777 -7606.4 0
23200 -238.943 -7588.95 0
23300 -241.005 -7515.61 0
23400 -242.447 -7568.33 0
23500 -244.282 -7540.92 0
23600 -244.055 -7568.78 0
23700 -245.034 -7521.2 0
23800 -244.828 -7516.19 0
23900 -243.379 -7520.39 0
24000 -238.549 -7555.16 0
24100 -239.933 -7538.28 0
24200 -239.782 -7532.63 0
24300 -237.143 -7603.2 0
24400 -237.568 -7612.82 0
24500 -240.583 -7612.36 0
24600 -241.082 -7553.67 0
24700 -240.201 -7534.78 0
24800 -241.007 -7571.94 0
24900 -241.421 -7655.13 0
25000 -240.855 -7603.24 0
25100 -241.234 -7650.32 0
25200 -240.038 -7625.92 0
25300 -240.189 -7559.02 0
25400 -241.32 -7560.29 0
25500 -240.274 -7593.27 0
25600 -242.139 -7637.93 0
25700 -244.2 -7592.85 0
25800 -245.136 -7565.78 0
25900 -244.513 -7606.01 0
26000 -242.067 -7614.35 0
26100 -242.313 -7640.57 0
26200 -242.437 -7620.39 0
26300 -243.942 -7571 0
26400 -245.591 -7580.51 0
26500 -245.028 -7671.59 0
26600 -243.231 -7656.22 0
26700 -247.667 -7666.19 0
26800 -245.976 -7638.64 0
26900 -248.211 -7674.47 0
27000 -247.887 -7688.43 0
27100 -246.44 -7681.78 0
27200 -247.485 -7618.28 0
27300 -247.026 -7647.46 0
27400 -247.284 -7639.09 0
27500 -246.235 -7603.24 0
27600 -246.989 -7630.63 0
27700 -247.348 -7604.77 0
27800 -247.488 -7677.22 0
27900 -247.239 -7710.61 0
28000 -249.121 -7684.34 0
28100 -249.211 -7619.07 0
28200 -247.031 -7594.02 0
28300 -246.457 -7575.9 0
28400 -248.368 -7642.09 0
28500 -248.708 -7653.93 0
28600 -248.398 -7636.35 0
28700 -247.484 -7705.51 0
28800 -244.534 -7726.6 0
28900 -246.849 -7696.95 0
29000 -247.579 -7675.66 0
29100 -245.067 -7739.59 0
29200 -244.545 -7661.33 0
29300 -247.838 -7692.99 0
29400 -248.992 -7659.24 0
29500 -247.699 -7668.62 0
29600 -246.638 -7715.81 0
29700 -248.727 -7698.52 0
29800 -247.272 -7703.19 0
29900 -244.454 -7610.88 0
30000 -244.619 -7667.47 0
30100 -245.539 -7697.19 0
30200 -246.823 -7689.11 0
30300 -246.522 -7648.6 0
30400 -245.267 -7655.57 0
30500 -245.374 -7698.79 0
30600 -243.104 -7734.22 0
30700 -244.862 -7712.86 0
30800 -246.456 -7653.51 0
30900 -246.773 -7677.15 0
31000 -248.145 -7757.4 0
31100 -245.881 -7712.66 0
31200 -247.738 -7700.72 0
31300 -247.068 -7676.3 0
31400 -246.307 -7671.84 0
31500 -245.503 -7674.3 0
31600 -247.533 -7667.21 0
31700 -247.838 -7727.28 0
31800 -247.205 -7726.74 0
31900 -247.899 -7756.03 0
32000 -247.992 -7720.92 0
32100 -247.059 -7730.59 0
32200 -248.591 -7696.88 0
32300 -249.384 -7722.47 0
32400 -247.367 -7721.16 0
32500 -246.801 -7698.92 0
32600 -246.701 -7723.44 0
32700 -246.417 -7719.23 0
32800 -247.163 -7674.01 0
32900 -247.428 -7759.96 0
33000 -247.492 -7751.3 0
33100 -248.776 -7710.7 0
33200 -247.669 -7736.79 0
33300 -248.254 -7662.12 0
33400 -249.651 -7691.45 0
33500 -247.007 -7763.51 0
33600 -247.702 -7781.48 0
33700 -247.198 -7818.23 0
33800 -246.586 -7784.62 0
33900 -242.579 -7738.9 0
34000 -247.444 -7706.22 0
34100 -247.099 -7735.95 0
34200 -246.964 -7780.45 0
34300 -242.537 -7742.11 0
34400 -246.446 -7741.57 0
34500 -245.801 -7791.08 0
34600 -247.02 -7798.57 0
34700 -246.613 -7794.62 0
34800 -247.607 -7777.56 0
34900 -247.008 -7728.36 0
35000 -247.446 -7689.97 0
35100 -247.797 -7751.6 0
35200 -246.952 -7731.52 0
35300 -244.486 -7701.95 0
35400 -244.424 -7669.48 0
35500 -245.618 -7765.92 0
35600 -247.057 -7772.2 0
35700 -247.182 -7813.75 0
35800 -246.032 -7748.01 0
35900 -245.43 -7741.37 0
36000 -245.843 -7741.57 0
36100 -248.346 -7776.5 0
36200 -246.536 -7775.86 0
36300 -246.034 -7766.12 0
36400 -246.383 -7816.06 0
36500 -245.013 -7750.83 0
36600 -245.744 -7815.94 0
36700 -247.275 -7727.72 0
36800 -245.777 -7743.56 0
36900 -243.972 -7785.34 0
37000 -243.429 -7805.68 0
37100 -245.513 -7811.16 0
37200 -248.051 -7796.47 0
37300 -246.933 -7780.52 0
37400 -248.268 -7758.01 0
37500 -250.05 -7740.27 0
37600 -249.63 -7723.82 0
37700 -248.115 -7735.36 0
37800 -250.607 -7812.58 0
37900 -251.806 -7809.99 0
38000 -250.626 -7753.58 0
38100 -249.372 -7749.96 0
38200 -249.785 -7821.54 0
38300 -248.97 -7793.64 0
38400 -248.342 -7724.5 0
38500 -249.271 -7744.36 0
38600 -247.788 -7783.1 0
38700 -248.363 -7829.52 0
38800 -248.738 -7791.17 0
38900 -247.672 -7752.58 0
39000 -247.37 -7781.92 0
39100 -249.294 -7845.5 0
39200 -248.847 -7748.03 0
39300 -249.072 -7763.73 0
39400 -248.767 -7788.04 0
39500 -248.302 -7794.66 0
39600 -247.855 -7864.34 0
39700 -247.169 -7868 0
39800 -247.491 -7807.51 0
39900 -245.312 -7825.44 0
40000 -246.587 -7776.27 0
40100 -246.361 -7824.51 0
40200 -247.67 -7787 0
40300 -247.657 -7711.95 0
40400 -248.515 -7726.86 0
40500 -246.784 -7763.66 0
40600 -247.573 -7821.36 0
40700 -247.483 -7778.25 0
40800 -248.839 -7705.3 0
40900 -250.943 -7759.58 0
41000 -249.024 -7801.27 0
41100 -248.707 -7848.88 0
41200 -248.753 -7779.89 0
41300 -249.111 -7766.97 0
41400 -249.203 -7795.53 0
41500 -249.747 -7844.83 0
41600 -249.728 -7829.95 0
41700 -249.581 -7805.61 0
41800 -249.868 -7798.8 0
41900 -248.35 -7793.34 0
42000 -247.974 -7854.7 0
42100 -247.693 -7818.44 0
42200 -247.495 -7806.84 0
42300 -247.912 -7811.42 0
42400 -249.165 -7821.76 0
42500 -250.035 -7848.31 0
42600 -248.834 -7775.29 0
42700 -250.615 -7813.05 0
42800 -249.628 -7779.33 0
42900 -249.609 -7849.42 0
43000 -250.588 -7864.24 0
43100 -248.846 -7787.48 0
43200 -247.752 -7753.6 0
43300 -249.047 -7806.49 0
43400 -247.74 -7772.08 0
43500 -248.141 -7775.48 0
43600 -249.888 -7759.64 0
43700 -248.999 -7814.91 0
43800 -247.433 -7792.09 0
43900 -249.42 -7750.67 0
44000 -247.475 -7780.11 0
44100 -249.648 -7786.49 0
44200 -249.333 -7775.9 0
44300 -249.609 -7806.44 0
44400 -250.049 -7838.23 0
44500 -249.704 -7820.68 0
44600 -249.158 -7771.82 0
44700 -248.893 -7797.51 0
44800 -248.787 -7873.24 0
44900 -249.783 -7824.67 0
45000 -248.636 -7814.91 0
45100 -248.756 -7848.97 0
45200 -249.466 -7913.08 0
45300 -247.102 -7877.96 0
45400 -246.91 -7905.35 0
45500 -248.93 -7812.56 0
45600 -249.715 -7824.18 0
45700 -248.558 -7877.99 0
45800 -247.268 -7865.58 0
45900 -246.597 -7818.73 0
46000 -248.323 -7789.78 0
46100 -246.617 -7859.59 0
46200 -247.202 -7822.53 0
46300 -247.211 -7830.76 0
46400 -248.083 -7832.56 0
46500 -248.995 -7820.05 0
46600 -248.437 -7866.56 0
46700 -247.98 -7812.33 0
46800 -248.558 -7853.93 0
46900 -249.375 -7872.93 0
47000 -246.409 -7882.72 0
47100 -247.458 -7827.24 0
47200 -250.106 -7771.55 0
47300 -248.597 -7811.44 0
47400 -249.029 -7843.8 0
47500 -248.261 -7854.8 0
47600 -246.704 -7843.91 0
47700 -245.689 -7856 0
47800 -245.347 -7869.38 0
47900 -245.33 -7789.74 0
48000 -247.739 -7803.05 0
48100 -246.913 -7865.01 0
48200 -249.936 -7845.14 0
48300 -249.277 -7842.61 0
48400 -248.459 -7840.17 0
48500 -246.678 -7811.26 0
48600 -248.643 -7887.26 0
48700 -247.24 -7914.35 0
48800 -247.038 -7879.45 0
48900 -249.465 -7834.1 0
49000 -250.633 -7879.64 0
49100 -250.446 -7929.03 0
49200 -249.104 -7840.32 0
49300 -248.761 -7877.45 0
49400 -248.418 -7926.55 0
49500 -247.814 -7881.75 0
49600 -248.121 -7955.56 0
49700 -248.223 -7974.28 0
49800 -248.917 -7914.39 0
49900 -249.411 -7886.81 0
50000 -249.436 -7811.21 0
50100 -248.2 -7835.16 0
50200 -246.684 -7887.25 0
50300 -246.952 -7907.82 0
50400 -246.353 -7837.7 0
50500 -246.924 -7853.85 0
50600 -249 -7772.7 0
50700 -249.776 -7879.14 0
50800 -248.094 -7857.35 0
50900 -249.33 -7945.44 0
51000 -249.967 -7890.13 0
51100 -248.975 -7850.98 0
51200 -247.602 -7888.27 0
51300 -249.268 -7869.14 0
51400 -250.041 -7889.33 0
51500 -248.977 -7888.59 0
51600 -249.722 -7855.62 0
51700 -249.754 -7914.78 0
51800 -250.35 -7913.62 0
51900 -250.134 -7787.23 0
52000 -249.116 -7841.2 0
52100 -249.804 -7815.74 0
52200 -249.56 -7760.74 0
52300 -250.951 -7824.65 0
52400 -251.342 -7850.34 0
52500 -250.202 -7821.42 0
52600 -249.691 -7815.12 0
52700 -248.124 -7802.93 0
52800 -249.512 -7847.53 0
52900 -249.994 -7850.76 0
53000 -249.546 -7879 0
53100 -247.364 -7855.52 0
53200 -248.45 -7901.47 0
53300 -248.042 -7865.79 0
53400 -249.606 -7886.23 0
53500 -250.355 -7835.74 0
53600 -250.131 -7860.07 0
53700 -248.557 -7850.26 0
53800 -247.341 -7832.25 0
53900 -247.036 -7874.34 0
54000 -245.996 -7933.59 0
54100 -247.611 -7922.66 0
54200 -247.546 -7892.82 0
54300 -249.862 -7884 0
