# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 21.4409
100 21.4488
200 21.433
300 21.4227
400 21.4028
500 21.3917
600 21.3825
700 21.3738
800 21.376
900 21.3777
1000 21.3855
1100 21.3871
1200 21.3922
1300 21.3966
1400 21.4027
1500 21.4012
1600 21.398
1700 21.3925
1800 21.3853
1900 21.3867
2000 21.3811
2100 21.3904
2200 21.3825
2300 21.3935
2400 21.398
2500 21.4009
2600 21.4117
2700 21.4245
2800 21.4293
2900 21.4315
3000 21.4187
3100 21.4032
3200 21.4155
3300 21.4194
3400 21.4142
3500 21.4035
3600 21.4084
3700 21.4
3800 21.3992
3900 21.4129
4000 21.4265
4100 21.4216
4200 21.4215
4300 21.4117
4400 21.4081
4500 21.4069
4600 21.394
4700 21.3701
4800 21.3565
4900 21.3415
5000 21.3349
5100 21.3304
5200 21.3407
5300 21.3559
5400 21.3595
5500 21.3665
5600 21.3663
5700 21.3885
5800 21.3987
5900 21.4107
6000 21.4277
6100 21.4375
6200 21.4364
6300 21.4478
6400 21.4565
6500 21.4659
6600 21.4732
6700 21.4752
6800 21.4601
6900 21.4593
7000 21.4661
7100 21.4763
7200 21.482
7300 21.4854
7400 21.4845
7500 21.4778
7600 21.4655
7700 21.4559
7800 21.4624
7900 21.471
8000 21.48
8100 21.4801
8200 21.4723
8300 21.4735
8400 21.4691
8500 21.4597
8600 21.4448
8700 21.4297
8800 21.4254
8900 21.4277
9000 21.4253
9100 21.4268
9200 21.4365
9300 21.4437
9400 21.4452
9500 21.4547
9600 21.4635
9700 21.4641
9800 21.459
9900 21.4454
10000 21.4324
10100 21.4463
10200 21.4524
10300 21.4567
10400 21.4648
10500 21.4714
10600 21.4591
10700 21.4555
10800 21.4515
10900 21.4457
11000 21.4426
11100 21.4293
11200 21.4177
11300 21.4248
11400 21.4316
11500 21.4481
11600 21.4483
11700 21.4471
11800 21.45
11900 21.4549
12000 21.4628
12100 21.4649
12200 21.4732
12300 21.4836
12400 21.4761
12500 21.4721
12600 21.4499
12700 21.4418
12800 21.446
12900 21.4495
13000 21.4411
13100 21.431
13200 21.4199
13300 21.4169
13400 21.4151
13500 21.4139
13600 21.4166
13700 21.4209
13800 21.4304
13900 21.433
14000 21.4309
14100 21.4307
14200 21.4181
14300 21.4204
14400 21.4195
14500 21.4053
14600 21.4029
14700 21.4112
14800 21.3985
14900 21.4074
15000 21.4085
15100 21.3952
15200 21.3857
15300 21.3939
15400 21.4165
15500 21.4295
15600 21.4276
15700 21.4297
15800 21.4225
15900 21.42
16000 21.4267
16100 21.4363
16200 21.4305
16300 21.4285
16400 21.4384
16500 21.4334
16600 21.4426
16700 21.4489
16800 21.439
16900 21.4397
17000 21.442
17100 21.4429
17200 21.4346
17300 21.4373
17400 21.4403
17500 21.437
17600 21.4243
17700 21.4237
17800 21.4157
17900 21.4076
18000 21.4115
18100 21.4323
18200 21.4328
18300 21.4327
18400 21.4386
18500 21.455
18600 21.46
18700 21.452
18800 21.458
18900 21.4538
19000 21.44
19100 21.432
19200 21.4387
19300 21.4301
19400 21.4275
19500 21.427
19600 21.428
19700 21.418
19800 21.4258
19900 21.4196
20000 21.4152
20100 21.416
20200 21.4419
20300 21.4421
20400 21.4342
20500 21.4345
20600 21.4396
20700 21.4496
20800 21.4459
20900 21.4288
21000 21.4267
21100 21.4065
21200 21.3997
21300 21.3961
21400 21.3944
21500 21.3962
21600 21.3987
21700 21.4012
21800 21.3976
21900 21.3985
22000 21.4009
22100 21.4083
22200 21.4167
22300 21.4238
