# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 22.5221
100 22.5286
200 22.5469
300 22.5474
400 22.5571
500 22.5624
600 22.5593
700 22.554
800 22.5537
900 22.5611
1000 22.5673
1100 22.5732
1200 22.5571
1300 22.55
1400 22.5526
1500 22.5608
1600 22.5632
1700 22.5706
1800 22.5738
1900 22.5997
2000 22.6171
2100 22.6283
2200 22.6311
2300 22.6294
2400 22.6215
2500 22.5975
2600 22.587
2700 22.5785
2800 22.588
2900 22.5953
3000 22.6056
3100 22.6057
3200 22.6198
3300 22.621
3400 22.6319
3500 22.6385
3600 22.6474
3700 22.661
3800 22.6659
3900 22.6555
4000 22.6425
4100 22.6277
4200 22.6175
4300 22.6321
4400 22.6465
4500 22.6514
4600 22.6598
4700 22.6607
4800 22.6496
4900 22.6471
5000 22.6518
5100 22.646
5200 22.641
5300 22.6372
5400 22.6455
5500 22.6525
5600 22.6553
5700 22.6543
5800 22.6689
5900 22.6745
6000 22.6894
6100 22.6965
6200 22.6873
6300 22.6748
6400 22.676
6500 22.6725
6600 22.6833
6700 22.6948
6800 22.6943
6900 22.691
7000 22.6975
7100 22.6914
7200 22.6768
7300 22.6635
7400 22.663
7500 22.6726
7600 22.6846
7700 22.7012
7800 22.7204
7900 22.7388
8000 22.7371
8100 22.7269
8200 22.7194
8300 22.715
8400 22.73
8500 22.7501
8600 22.7572
8700 22.7687
8800 22.7888
8900 22.8015
9000 22.8106
9100 22.821
9200 22.8232
9300 22.8267
9400 22.817
9500 22.8258
9600 22.8439
9700 22.8397
9800 22.8349
9900 22.826
10000 22.8134
10100 22.8054
10200 22.8163
10300 22.8157
10400 22.8063
10500 22.8048
10600 22.8027
10700 22.7993
10800 22.8052
10900 22.8134
11000 22.8104
11100 22.8154
11200 22.8177
11300 22.8414
11400 22.8635
11500 22.8769
11600 22.8797
11700 22.8835
11800 22.9
11900 22.8983
12000 22.9049
12100 22.9061
12200 22.9243
12300 22.9134
12400 22.914
12500 22.9111
12600 22.9152
12700 22.9207
12800 22.9205
12900 22.9213
13000 22.9266
13100 22.9196
13200 22.9282
13300 22.9259
13400 22.9206
13500 22.9165
13600 22.9173
13700 22.9182
13800 22.9239
13900 22.9159
14000 22.9171
14100 22.9224
14200 22.9207
14300 22.9319
14400 22.9226
14500 22.9092
14600 22.9053
14700 22.9177
14800 22.9194
14900 22.9212
15000 22.9184
15100 22.9391
15200 22.9516
15300 22.9524
15400 22.9745
15500 22.9821
15600 22.996
15700 23.0045
15800 23.0073
15900 22.9985
16000 22.9965
16100 22.9977
16200 22.9891
16300 22.9839
16400 22.9905
16500 22.9938
16600 23.0027
16700 23.0068
16800 23.0306
16900 23.0373
17000 23.0381
17100 23.0251
17200 23.0145
17300 23.0101
17400 23.0093
17500 22.9968
17600 22.9955
17700 23.0052
17800 22.9996
17900 22.9997
18000 23.0032
18100 23.0121
18200 23.0277
18300 23.0357
18400 23.0485
18500 23.0502
18600 23.0497
18700 23.0515
18800 23.061
18900 23.0606
19000 23.0619
19100 23.0537
19200 23.0592
19300 23.0556
19400 23.039
19500 23.0256
19600 23.0277
19700 23.0228
19800 23.0349
19900 23.0358
20000 23.0418
20100 23.0538
20200 23.0505
20300 23.0528
20400 23.0444
20500 23.0368
20600 23.0405
20700 23.0228
20800 23.0186
20900 23.0189
21000 23.0199
21100 23.0237
21200 23.0247
21300 23.0139
21400 23.0215
21500 23.0255
21600 23.0243
21700 23.0223
21800 23.0343
21900 23.0437
22000 23.0543
22100 23.0531
22200 23.0581
22300 23.0575
22400 23.0492
22500 23.0528
22600 23.0498
22700 23.0493
22800 23.055
22900 23.0642
23000 23.0686
23100 23.0771
23200 23.0854
23300 23.0927
23400 23.1099
23500 23.1108
23600 23.0999
23700 23.0971
23800 23.0888
23900 23.0842
24000 23.0775
24100 23.0772
24200 23.077
24300 23.0786
24400 23.0797
24500 23.0846
24600 23.0763
24700 23.067
24800 23.0595
24900 23.0597
25000 23.066
25100 23.0726
25200 23.0812
25300 23.0766
25400 23.0899
25500 23.1064
25600 23.1178
25700 23.1317
25800 23.132
25900 23.1401
26000 23.1388
26100 23.1512
26200 23.1565
26300 23.1544
26400 23.1461
26500 23.1469
26600 23.152
26700 23.1571
26800 23.1623
26900 23.1602
27000 23.1629
27100 23.162
27200 23.1524
27300 23.1437
27400 23.1427
27500 23.15
27600 23.1536
27700 23.1484
27800 23.1457
27900 23.1496
28000 23.1563
28100 23.1672
28200 23.1642
28300 23.1744
28400 23.167
28500 23.1525
28600 23.1526
28700 23.1399
28800 23.1628
28900 23.1672
29000 23.1687
29100 23.1793
29200 23.1886
29300 23.1973
29400 23.2039
