# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 22.5415
100 22.5408
200 22.5587
300 22.5787
400 22.5844
500 22.5789
600 22.5718
700 22.5823
800 22.5895
900 22.5948
1000 22.5907
1100 22.5937
1200 22.601
1300 22.5988
1400 22.6019
1500 22.6075
1600 22.5975
1700 22.6021
1800 22.6034
1900 22.6097
2000 22.6082
2100 22.5959
2200 22.5878
2300 22.5803
2400 22.5715
2500 22.5531
2600 22.5645
2700 22.5642
2800 22.5676
2900 22.5655
3000 22.5553
3100 22.5441
3200 22.5451
3300 22.547
3400 22.5684
3500 22.5701
3600 22.569
3700 22.5572
3800 22.5687
3900 22.57
4000 22.5788
4100 22.5987
4200 22.6062
4300 22.6038
4400 22.5856
4500 22.5897
4600 22.5835
4700 22.5897
4800 22.6071
4900 22.604
5000 22.6011
5100 22.5805
5200 22.5822
5300 22.5896
5400 22.5904
5500 22.5935
5600 22.6029
5700 22.6144
5800 22.6252
5900 22.641
6000 22.6406
6100 22.6381
6200 22.6338
6300 22.6281
6400 22.6178
6500 22.6221
6600 22.6202
6700 22.6249
6800 22.6225
6900 22.624
7000 22.6342
7100 22.6429
7200 22.6398
7300 22.6501
7400 22.6755
7500 22.6813
7600 22.6803
7700 22.6881
7800 22.7064
7900 22.713
8000 22.7246
8100 22.7355
8200 22.7494
8300 22.7577
8400 22.7531
8500 22.7515
8600 22.7375
8700 22.7427
8800 22.755
8900 22.7552
9000 22.7614
9100 22.7611
9200 22.7419
9300 22.7425
9400 22.7302
9500 22.7294
9600 22.728
9700 22.7464
9800 22.7533
9900 22.7529
10000 22.758
10100 22.7769
10200 22.7803
10300 22.7952
10400 22.7919
10500 22.8064
10600 22.8206
10700 22.8374
10800 22.8574
10900 22.8781
11000 22.8915
11100 22.8971
11200 22.9019
11300 22.911
11400 22.8996
11500 22.9148
11600 22.9138
11700 22.9238
11800 22.9363
11900 22.9565
12000 22.9639
12100 22.967
12200 22.9761
12300 22.9704
12400 22.9631
12500 22.9599
12600 22.952
12700 22.9485
12800 22.9557
12900 22.9572
13000 22.957
13100 22.9776
13200 22.9851
13300 22.996
13400 23.0004
13500 23.0133
13600 23.0347
13700 23.0549
13800 23.0664
13900 23.0675
14000 23.0547
14100 23.0628
14200 23.0718
14300 23.0746
14400 23.0819
14500 23.0825
14600 23.0813
14700 23.0793
14800 23.065
14900 23.0524
15000 23.0497
15100 23.0531
15200 23.0543
15300 23.0442
15400 23.0308
15500 23.0378
15600 23.0356
15700 23.0308
15800 23.0357
15900 23.0383
16000 23.0466
16100 23.055
16200 23.0489
16300 23.0494
16400 23.0551
16500 23.0512
16600 23.0491
16700 23.0448
16800 23.051
16900 23.0533
17000 23.0498
17100 23.0422
17200 23.0508
17300 23.0557
17400 23.0633
17500 23.0617
17600 23.0629
17700 23.0679
17800 23.0714
17900 23.0645
18000 23.053
18100 23.0501
18200 23.0389
18300 23.0437
18400 23.0475
18500 23.024
18600 23.0147
18700 23.0161
18800 23.0122
18900 23.0212
19000 23.0234
19100 23.026
19200 23.0285
19300 23.023
19400 23.0188
19500 23.0233
19600 23.0287
19700 23.023
19800 23.0238
19900 23.0319
20000 23.0258
20100 23.0241
20200 23.0081
20300 23.0079
20400 23.0027
20500 22.9899
20600 22.9922
20700 22.9803
20800 22.973
20900 22.9768
21000 22.994
21100 23.0169
21200 23.038
21300 23.0582
21400 23.0602
21500 23.0575
21600 23.0557
21700 23.048
21800 23.0452
21900 23.0377
22000 23.0362
22100 23.0409
22200 23.0426
22300 23.0401
22400 23.0433
22500 23.0439
22600 23.0421
22700 23.0405
22800 23.047
22900 23.0515
23000 23.062
23100 23.0676
23200 23.0706
23300 23.0783
23400 23.0888
23500 23.0955
23600 23.098
23700 23.1154
23800 23.1207
23900 23.1241
24000 23.1391
24100 23.1315
24200 23.1301
24300 23.1356
24400 23.1416
24500 23.1493
24600 23.166
24700 23.1835
24800 23.191
24900 23.194
25000 23.187
25100 23.1808
25200 23.1927
25300 23.1964
25400 23.1915
25500 23.1825
25600 23.169
25700 23.1563
25800 23.1617
25900 23.1571
26000 23.1678
26100 23.1819
26200 23.1919
26300 23.1634
26400 23.1525
26500 23.1539
26600 23.1535
26700 23.1551
26800 23.1565
26900 23.1697
27000 23.1651
27100 23.1573
27200 23.155
27300 23.1404
27400 23.1326
27500 23.1274
27600 23.1377
27700 23.1343
27800 23.1309
27900 23.1218
28000 23.1161
28100 23.1049
28200 23.1006
28300 23.108
28400 23.1045
28500 23.1015
28600 23.0995
28700 23.1113
28800 23.1346
28900 23.133
29000 23.1541
29100 23.148
29200 23.1551
29300 23.1573
29400 23.1565
29500 23.1696
29600 23.1816
29700 23.1826
29800 23.1785
29900 23.1779
30000 23.1784
30100 23.1668
30200 23.1639
30300 23.165
30400 23.1761
30500 23.2
30600 23.2089
30700 23.2099
30800 23.2093
30900 23.2209
31000 23.2281
