# Time-averaged data for fix rg_avg_A
# TimeStep c_rg_A
0 28.8965
100 28.9225
200 28.9749
300 29.0327
400 29.0466
500 29.0422
600 29.0644
700 29.0905
800 29.1064
900 29.1059
1000 29.0911
1100 29.1047
1200 29.1159
1300 29.1428
1400 29.156
1500 29.1933
1600 29.2184
1700 29.2091
1800 29.2294
1900 29.2143
2000 29.2184
2100 29.2114
2200 29.2188
2300 29.1935
2400 29.1923
2500 29.2001
2600 29.2165
2700 29.2413
2800 29.2812
2900 29.3388
3000 29.3754
3100 29.4184
3200 29.4332
3300 29.4388
3400 29.4717
3500 29.488
3600 29.5079
3700 29.5611
3800 29.5952
3900 29.6102
4000 29.6618
4100 29.7061
4200 29.7308
4300 29.7275
4400 29.729
4500 29.711
4600 29.7439
4700 29.7864
4800 29.7934
4900 29.8064
5000 29.8251
5100 29.8333
5200 29.8613
5300 29.8908
5400 29.8776
5500 29.8897
5600 29.9127
5700 29.8996
5800 29.9016
5900 29.9264
6000 29.925
6100 29.9311
6200 29.9335
6300 29.9248
6400 29.9312
6500 29.9427
6600 29.9596
6700 30.0102
6800 30.017
6900 30.0334
7000 30.0447
7100 30.0954
7200 30.149
7300 30.2064
7400 30.2353
7500 30.2534
7600 30.3063
7700 30.3249
7800 30.3293
7900 30.3129
8000 30.3217
8100 30.3646
8200 30.3613
8300 30.3722
8400 30.3607
8500 30.3199
8600 30.2668
8700 30.2724
8800 30.3242
8900 30.3896
9000 30.4409
9100 30.4655
9200 30.496
9300 30.5172
9400 30.5547
9500 30.6091
9600 30.6157
9700 30.6235
9800 30.6575
9900 30.7217
10000 30.7833
10100 30.8085
10200 30.8494
10300 30.8822
10400 30.8868
10500 30.9128
10600 30.9284
10700 30.9882
10800 31.0316
10900 31.0816
11000 31.1109
11100 31.1539
11200 31.1491
11300 31.1303
11400 31.1485
11500 31.1296
11600 31.1469
11700 31.1555
11800 31.1971
11900 31.2625
12000 31.2831
12100 31.3374
12200 31.3991
12300 31.4315
12400 31.4426
12500 31.4625
12600 31.4811
12700 31.5243
12800 31.5464
12900 31.5581
13000 31.5664
13100 31.5537
13200 31.5612
13300 31.5614
13400 31.5535
13500 31.5627
13600 31.5614
13700 31.5661
13800 31.5878
13900 31.5894
14000 31.6097
14100 31.6263
14200 31.6193
14300 31.5968
14400 31.5852
14500 31.5955
14600 31.6262
14700 31.6916
14800 31.7029
14900 31.7029
15000 31.6915
15100 31.6714
15200 31.6795
15300 31.656
15400 31.6496
15500 31.636
15600 31.6212
15700 31.6144
15800 31.6116
15900 31.6515
16000 31.6898
16100 31.7123
16200 31.7234
16300 31.7446
16400 31.7569
16500 31.7576
16600 31.7573
16700 31.7996
16800 31.8356
16900 31.8533
17000 31.8733
17100 31.8591
17200 31.8453
17300 31.8504
17400 31.8591
17500 31.886
17600 31.9211
17700 31.9247
17800 31.941
17900 31.9605
18000 31.9668
18100 31.9709
18200 31.958
18300 31.9219
18400 31.931
18500 31.9567
18600 31.9704
18700 31.9747
18800 31.9478
18900 31.9108
19000 31.8862
19100 31.8726
19200 31.8671
19300 31.8537
19400 31.8655
19500 31.9056
19600 31.9517
19700 31.9747
19800 31.9718
19900 31.9744
20000 31.9497
20100 31.943
20200 31.9842
20300 31.9873
20400 31.9381
20500 31.9237
20600 31.9489
20700 31.9408
20800 31.9506
20900 31.9383
21000 31.8873
21100 31.8503
21200 31.8409
21300 31.8732
21400 31.8643
21500 31.8473
21600 31.8351
21700 31.8615
21800 31.8928
21900 31.9146
22000 31.9
22100 31.9081
22200 31.9057
22300 31.8898
22400 31.9124
22500 31.9542
22600 31.9779
22700 31.9796
22800 32.0253
22900 32.0507
23000 32.0735
23100 32.099
23200 32.1002
23300 32.0996
23400 32.1226
23500 32.1375
23600 32.1361
23700 32.1448
23800 32.155
23900 32.1752
24000 32.1816
24100 32.168
24200 32.1401
24300 32.1085
24400 32.0885
24500 32.0778
24600 32.0696
24700 32.0583
24800 32.0377
24900 32.0417
25000 32.0629
25100 32.0815
25200 32.1001
25300 32.1304
25400 32.157
25500 32.1892
25600 32.2001
25700 32.1897
25800 32.1769
25900 32.1445
26000 32.1067
26100 32.1141
26200 32.1115
26300 32.1008
26400 32.1436
26500 32.1536
26600 32.1569
26700 32.162
26800 32.2176
26900 32.2506
27000 32.273
27100 32.295
27200 32.2937
27300 32.2803
27400 32.2937
27500 32.3403
27600 32.3694
27700 32.3829
27800 32.3669
27900 32.3513
28000 32.3276
28100 32.3203
28200 32.3089
28300 32.3202
28400 32.3312
28500 32.3148
28600 32.365
28700 32.3715
28800 32.4058
28900 32.4456
29000 32.4458
29100 32.4516
29200 32.4174
29300 32.4209
29400 32.4377
29500 32.4684
29600 32.4821
29700 32.4675
29800 32.4519
29900 32.4459
30000 32.4156
30100 32.4004
30200 32.3899
30300 32.3877
30400 32.4107
30500 32.4208
30600 32.3956
30700 32.3857
30800 32.4065
30900 32.4566
31000 32.4867
31100 32.5183
31200 32.5353
31300 32.5095
31400 32.4693
31500 32.4478
31600 32.4461
31700 32.4492
31800 32.445
31900 32.4532
32000 32.4122
32100 32.3591
32200 32.3118
32300 32.2884
32400 32.2805
32500 32.2751
32600 32.2676
32700 32.2516
32800 32.2476
32900 32.228
33000 32.2216
33100 32.2092
33200 32.1844
33300 32.1769
33400 32.1458
33500 32.149
33600 32.0957
33700 32.1066
33800 32.1373
33900 32.1309
34000 32.1282
34100 32.1271
34200 32.1086
34300 32.0687
34400 32.052
34500 32.0548
34600 32.0565
34700 32.0382
34800 32.0411
34900 32.0579
35000 32.0592
35100 32.0479
35200 32.0259
35300 31.9976
35400 31.9592
35500 31.9605
35600 31.9676
35700 32.0034
35800 32.0091
35900 32.0171
36000 32.0383
36100 32.0475
36200 32.0532
36300 32.0424
36400 32.0545
36500 32.0567
36600 32.0631
36700 32.0659
36800 32.0489
36900 32.012
37000 32.0238
37100 32.0313
37200 32.02
37300 32.0127
37400 32.0356
37500 32.0138
37600 32.0197
37700 32.0147
37800 32.0314
37900 32.0005
38000 31.9724
38100 31.9614
38200 31.9505
38300 31.9601
38400 31.9926
38500 32.0177
38600 32.0133
38700 32.0437
38800 32.0464
38900 32.0468
39000 32.0596
39100 32.0569
39200 32.0599
39300 32.0818
39400 32.0969
39500 32.1027
39600 32.1437
39700 32.1642
39800 32.1436
39900 32.1385
40000 32.1261
40100 32.1316
40200 32.1413
40300 32.1443
40400 32.1571
40500 32.1817
40600 32.1797
40700 32.1784
40800 32.1474
40900 32.1179
41000 32.1032
41100 32.0784
41200 32.0831
41300 32.0858
41400 32.0944
41500 32.0932
41600 32.1064
41700 32.0974
41800 32.0983
41900 32.131
42000 32.1036
42100 32.1069
42200 32.1151
42300 32.1449
42400 32.148
42500 32.1662
42600 32.174
42700 32.1445
42800 32.1497
42900 32.1346
43000 32.1432
43100 32.1514
43200 32.1477
43300 32.1511
43400 32.1792
43500 32.234
43600 32.2332
43700 32.2417
43800 32.2764
43900 32.2928
44000 32.2733
44100 32.2696
44200 32.2748
44300 32.2743
44400 32.2607
44500 32.2692
44600 32.2645
44700 32.2771
44800 32.283
44900 32.283
45000 32.2745
45100 32.2689
45200 32.2931
45300 32.3147
45400 32.3592
45500 32.3773
45600 32.3892
45700 32.3816
45800 32.4069
45900 32.4332
46000 32.4479
46100 32.4496
46200 32.4517
46300 32.456
46400 32.4592
46500 32.4545
46600 32.4324
46700 32.4282
46800 32.4174
46900 32.4277
47000 32.4376
47100 32.4589
47200 32.4402
47300 32.4357
47400 32.4351
47500 32.4575
47600 32.5003
47700 32.534
47800 32.5715
47900 32.5517
48000 32.5686
48100 32.5795
48200 32.5686
48300 32.5624
48400 32.549
48500 32.5129
48600 32.5181
48700 32.4971
48800 32.4958
48900 32.5177
49000 32.538
49100 32.5702
49200 32.5632
49300 32.5278
49400 32.4918
49500 32.4917
49600 32.4919
49700 32.4839
