# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
0 0
100 0.278559
200 0.676754
300 1.06759
400 1.40934
500 1.73206
600 2.0712
700 2.47538
800 2.88701
900 3.30853
1000 3.64901
1100 3.98365
1200 4.36747
1300 4.77161
1400 5.34487
1500 5.80345
1600 6.15136
1700 6.61388
1800 7.05379
1900 7.48994
2000 7.96697
2100 8.53824
2200 9.05157
2300 9.72181
2400 10.3337
2500 10.9602
2600 11.4159
2700 11.9373
2800 12.4347
2900 13.1406
3000 13.627
3100 14.0606
3200 14.5982
3300 15.1633
3400 15.6397
3500 16.3316
3600 17.0266
3700 17.7062
3800 18.3454
3900 19.0121
4000 19.3354
4100 19.6596
4200 20.2952
4300 20.9581
4400 21.4675
4500 21.7565
4600 22.3277
4700 23.0229
4800 23.7051
4900 24.1284
5000 24.7199
5100 25.3043
5200 25.7354
5300 26.2441
5400 26.7535
5500 27.6155
5600 28.0866
5700 28.5893
5800 29.23
5900 29.7659
6000 30.3525
6100 30.9321
6200 31.794
6300 32.4715
6400 33.2393
6500 33.9311
6600 34.7906
6700 35.5201
6800 35.9008
6900 36.8562
7000 37.7811
7100 38.2609
7200 38.6958
7300 39.0822
7400 39.6824
7500 40.3885
7600 41.0423
7700 41.9218
7800 42.7559
7900 43.7922
8000 44.9122
8100 46.0083
8200 46.6192
8300 47.5759
8400 48.5822
8500 49.1205
8600 49.7239
8700 50.0395
8800 50.1308
8900 50.2528
9000 50.5994
9100 50.8264
9200 50.7247
9300 51.3146
9400 52.1572
9500 53.0989
9600 54.0645
9700 54.7878
9800 55.4686
9900 56.2013
10000 56.9254
10100 57.6062
10200 58.4298
10300 59.3541
10400 60.6076
10500 61.5821
10600 62.4818
10700 62.771
10800 63.2145
10900 63.9827
11000 64.6867
11100 64.9739
11200 65.4041
11300 65.9601
11400 66.505
11500 67.3956
11600 68.2835
11700 68.865
11800 69.5257
11900 70.0271
12000 70.7621
12100 71.3382
12200 72.1003
12300 73.1569
12400 73.9991
12500 75.0735
12600 75.6964
12700 76.343
12800 77.0102
12900 77.3651
13000 77.6851
13100 78.5887
13200 79.3956
13300 80.2008
13400 80.7418
13500 81.5007
13600 82.0209
13700 82.2307
13800 82.6467
13900 83.3063
14000 83.8286
14100 84.5402
14200 85.1719
14300 86.4266
14400 87.0055
14500 87.7719
14600 88.6882
14700 90.0299
14800 90.9121
14900 91.2301
15000 91.9304
15100 92.6618
15200 93.2856
15300 93.8991
15400 94.4517
15500 94.8893
15600 95.8006
15700 96.2913
15800 96.798
15900 97.1742
16000 97.8496
16100 98.7883
16200 99.8158
16300 100.333
16400 100.63
16500 100.626
16600 101.006
16700 101.139
16800 101.735
16900 102.817
17000 103.268
17100 104.321
17200 105.356
17300 105.648
17400 106.039
17500 106.226
17600 106.832
17700 107.91
17800 108.923
17900 109.82
18000 110.687
18100 111.839
18200 112.856
18300 113.777
18400 114.342
18500 115.348
18600 116.187
18700 117.433
18800 118.378
18900 119.382
19000 120.12
19100 121.452
19200 123.017
19300 124.032
19400 124.636
19500 125.138
19600 125.744
19700 126.95
19800 127.672
19900 128.859
20000 130.278
20100 130.926
20200 131.859
20300 132.759
20400 133.692
20500 134.735
20600 135.548
20700 136.609
20800 137.812
20900 139.146
21000 140.143
21100 141.432
21200 142.95
21300 144.109
21400 145.041
21500 145.469
21600 145.674
21700 145.833
21800 146.017
21900 146.5
22000 147.425
22100 148.721
22200 149.55
22300 150.821
22400 151.775
22500 152.345
22600 153.052
22700 154.482
22800 155.996
22900 157.342
23000 158.816
23100 159.814
23200 160.276
23300 160.932
23400 161.742
23500 162.881
23600 163.218
23700 164.356
23800 165.138
23900 165.542
24000 165.954
24100 167.1
24200 167.959
24300 169.044
24400 170.409
24500 171.292
24600 172.238
24700 173.104
24800 174.088
24900 175.026
25000 175.918
25100 176.894
25200 178.238
25300 179.046
25400 179.617
25500 180.351
25600 180.851
25700 182.35
25800 183.643
25900 184.863
26000 185.794
26100 186.938
26200 188.017
26300 189.15
26400 190.457
26500 191.572
26600 192.69
26700 193.548
26800 194.49
26900 195.741
27000 197.413
27100 199.339
27200 200.873
27300 203.005
27400 205.177
27500 206.749
27600 207.836
27700 209.414
27800 210.954
27900 212.034
28000 213.655
28100 215.099
28200 216.638
28300 217.582
28400 218.873
28500 219.682
28600 220.755
28700 221.294
28800 221.933
28900 222.282
29000 223.025
29100 224.138
29200 225.649
29300 226.987
29400 228.77
29500 230.458
29600 231.717
29700 232.186
29800 232.769
29900 234.059
30000 234.929
30100 235.876
30200 237.178
30300 238.295
30400 239.009
30500 240.153
30600 241.531
30700 241.928
30800 242.072
30900 242.01
31000 242.258
31100 243.689
31200 245.014
31300 246.284
31400 247.315
31500 248.727
31600 249.397
31700 250.273
31800 251.673
31900 252.875
32000 254.138
32100 255.54
32200 256.936
32300 257.522
32400 258.494
32500 259.193
32600 259.483
32700 260.195
32800 260.967
32900 262.473
33000 263.568
33100 264.471
33200 265.149
33300 266.212
33400 267.143
33500 267.918
33600 269.041
33700 270.144
33800 270.533
33900 270.833
34000 271.957
34100 272.996
34200 274.831
34300 276.776
34400 277.551
34500 278.06
34600 278.355
34700 278.992
34800 279.699
34900 280.667
35000 281.784
35100 283.091
35200 284.034
35300 285.984
35400 287.625
35500 289.248
35600 291.072
35700 292.381
35800 293.715
35900 294.596
36000 296.121
36100 296.929
36200 297.35
36300 298.602
36400 299.23
36500 300.456
36600 301.938
36700 302.582
36800 303.442
36900 304.906
37000 306.131
37100 307.698
37200 308.409
37300 309.239
37400 310.355
37500 311.299
37600 311.662
37700 312.616
37800 313.559
37900 314.454
38000 314.799
38100 315.736
38200 316.841
38300 317.361
38400 318.138
38500 318.492
38600 319.633
38700 320.913
38800 322.599
38900 324.144
39000 324.918
39100 325.392
39200 325.779
39300 325.644
39400 326.002
39500 326.779
39600 328.129
39700 328.886
39800 329.76
39900 330.139
40000 331.204
40100 332.192
40200 333.227
40300 334.215
40400 335.04
40500 335.787
40600 336.973
40700 338.159
40800 339.301
40900 340.132
41000 341.011
41100 341.686
41200 342.383
41300 342.684
41400 343.685
41500 344.254
41600 345.697
41700 347.139
41800 348.184
41900 349.05
42000 349.792
42100 349.953
42200 350.781
42300 350.462
42400 350.84
42500 351.026
42600 352.114
42700 352.693
42800 353.358
42900 353.75
43000 353.598
43100 354.907
43200 356.079
43300 357.239
43400 358.352
43500 359.078
43600 360.011
43700 360.764
43800 361.413
43900 362.313
44000 363.15
44100 363.313
44200 363.741
44300 364.182
44400 364.209
44500 364.753
44600 365.579
44700 365.479
44800 366.902
44900 367.648
45000 368.139
45100 368.705
45200 368.564
45300 368.753
45400 368.341
45500 368.636
45600 368.825
45700 368.397
45800 368.305
45900 369.293
46000 369.691
46100 370.192
46200 371.008
46300 372.418
46400 373.21
46500 374.138
46600 374.372
46700 375.19
46800 376.34
46900 377.295
47000 377.582
47100 377.675
47200 378.392
47300 378.979
47400 379.863
47500 380.263
47600 380.775
47700 380.937
47800 380.979
47900 381.505
48000 381.793
48100 382.576
48200 383.121
48300 384.044
48400 384.307
48500 385.65
48600 387.04
48700 388.415
48800 389.615
48900 389.944
49000 389.55
49100 390.721
49200 392.781
49300 394.597
49400 396.155
49500 397.669
49600 398.545
49700 399.414
49800 400.507
49900 401.349
50000 402.594
50100 403.928
50200 405.247
50300 406.489
50400 407.261
50500 407.255
50600 407.718
50700 408.323
50800 408.623
50900 409.618
51000 410.679
51100 411.563
51200 411.965
51300 412.643
51400 413.416
51500 415.295
51600 416.206
51700 417.566
51800 417.851
51900 419.05
52000 420.666
52100 422.076
52200 423.325
52300 424.067
52400 424.986
52500 425.677
52600 426.035
52700 427.58
52800 427.966
52900 428.64
53000 429.318
53100 429.503
53200 429.71
53300 430.258
53400 431.465
53500 432.625
53600 433.13
53700 434.279
53800 434.24
53900 434.727
54000 435.377
54100 436.644
54200 438.2
54300 439.467
54400 441.015
54500 441.815
54600 443.603
54700 445.07
54800 445.94
54900 446.938
55000 447.665
55100 447.497
55200 448.094
55300 449.136
55400 450.564
55500 452.265
55600 452.99
55700 453.882
55800 455.19
55900 456.326
56000 457.567
56100 457.57
56200 458.757
56300 460.239
56400 461.618
56500 463.148
56600 463.59
56700 465.321
56800 466.207
56900 466.385
57000 466.269
57100 467.369
57200 467.687
57300 468.954
57400 470.194
57500 471.115
57600 472.645
57700 473.627
57800 474.632
57900 476.178
58000 478.187
58100 479.361
58200 480.173
58300 481.75
58400 483.278
58500 484.92
58600 486.584
58700 488.495
58800 490.068
58900 491.153
59000 492.253
59100 494.063
59200 495.498
59300 497.349
59400 499.308
59500 500.377
59600 501.69
59700 503.357
59800 504.49
59900 505.647
60000 507.314
60100 508.915
60200 510.241
60300 511.563
60400 513.597
60500 513.726
60600 514.306
60700 515.327
60800 515.876
60900 517.609
61000 518.718
61100 520
61200 520.912
61300 521.902
61400 523.007
61500 523.4
61600 524.049
61700 525.541
61800 525.787
61900 526.605
62000 528.238
62100 529.266
62200 530.719
62300 531.589
62400 532.923
62500 534.259
62600 535.418
62700 537.672
62800 539.928
62900 541.959
63000 543.883
63100 545.632
63200 547.335
63300 548.557
63400 548.868
63500 549.621
63600 551.073
63700 552.242
63800 553.667
63900 555.617
64000 557.447
64100 558.904
64200 560.795
64300 562.321
64400 563.189
64500 565.122
64600 567.138
64700 568.834
64800 570.106
64900 571.205
65000 573.182
65100 574.238
65200 575.249
65300 576.622
65400 577.974
65500 580.409
65600 582.281
65700 584.606
65800 587.14
65900 590.161
66000 592.849
66100 595.267
66200 597.023
66300 599.184
66400 600.856
66500 603.032
66600 605.312
66700 607.654
66800 610.042
66900 612.044
67000 614.057
67100 616.327
67200 618.171
67300 620.513
67400 622.979
67500 625.391
67600 628.454
67700 629.874
67800 631.839
67900 633.959
68000 635.095
68100 636.383
68200 637.635
68300 640.983
68400 643.322
68500 646.486
68600 648.596
68700 650.597
68800 652.574
68900 655.51
69000 658.038
69100 660.1
69200 662.373
69300 664.691
69400 666.711
69500 668.655
69600 671.083
69700 673.238
69800 675.334
69900 678.962
70000 681.208
70100 683.083
70200 684.179
70300 686.815
70400 688.736
70500 691.238
70600 694.459
70700 696.638
70800 699.16
70900 702.222
71000 703.969
71100 706.605
71200 709.39
71300 712.213
71400 714.872
71500 715.487
71600 716.963
71700 719.463
71800 722.603
71900 725.571
72000 728.144
72100 729.957
72200 732.591
72300 734.734
72400 737.732
72500 740.125
72600 741.282
72700 742.824
72800 744.047
72900 745.894
73000 747.927
73100 749.537
73200 751.774
73300 754.381
73400 756.438
73500 758.655
73600 760.576
73700 761.657
73800 762.566
73900 763.333
74000 764.726
74100 766.114
74200 767.137
74300 770.062
74400 772.099
74500 774.399
74600 776.097
74700 777.808
74800 780.144
74900 782.325
75000 784.357
75100 786.186
75200 788.091
75300 790.177
75400 792.482
75500 794.814
75600 797.689
75700 799.447
75800 800.164
75900 802.036
76000 804.571
76100 806.473
76200 808.085
76300 810.782
76400 813.55
76500 815.479
76600 817.582
76700 819.168
76800 821.171
76900 823.501
77000 826.209
77100 827.733
77200 829.169
77300 830.706
77400 832.479
77500 833.281
77600 834.61
77700 835.562
77800 837.475
77900 839.547
78000 842.379
78100 844.925
78200 846.994
78300 849.367
78400 851.053
78500 852.86
78600 854.517
78700 857.184
78800 859.055
78900 860.244
79000 861.469
79100 863.468
79200 865.678
79300 867.716
79400 869.614
79500 871.003
79600 872.423
79700 874.259
79800 876.664
79900 877.91
80000 878.484
80100 879.174
80200 880.679
80300 881.652
80400 882.139
80500 883.538
80600 885.021
80700 886.476
80800 886.998
80900 888.222
81000 889.817
81100 890.793
81200 891.578
81300 892.192
81400 892.914
81500 893.979
81600 895.124
81700 896.935
81800 898.452
81900 898.821
82000 899.423
82100 899.974
82200 900.561
82300 901.39
82400 901.378
82500 903.084
82600 904.832
82700 905.669
82800 906.397
82900 906.087
83000 906.22
83100 906.549
83200 906.24
83300 906.484
83400 906.109
83500 906.851
83600 907.465
83700 908.093
83800 908.63
83900 908.377
84000 907.771
84100 908.001
84200 907.782
84300 907.43
84400 908.085
84500 908.846
84600 910.593
84700 910.713
84800 910.367
