# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_24_10_1[4]
0 2.05532e-28
100 0.502154
200 1.10692
300 1.65329
400 2.14985
500 2.59173
600 2.98183
700 3.30849
800 3.70035
900 4.06915
1000 4.39833
1100 4.68347
1200 4.93334
1300 5.22189
1400 5.55227
1500 5.86166
1600 6.17824
1700 6.44896
1800 6.68332
1900 6.93673
2000 7.15907
2100 7.41749
2200 7.62876
2300 7.84147
2400 8.06426
2500 8.27947
2600 8.47781
2700 8.71695
2800 8.94205
2900 9.12599
3000 9.28635
3100 9.35662
3200 9.47408
3300 9.60436
3400 9.81948
3500 10.0544
3600 10.232
3700 10.4157
3800 10.6064
3900 10.8717
4000 11.1471
4100 11.4911
4200 11.711
4300 11.8024
4400 11.9395
4500 11.9974
4600 12.0756
4700 12.2089
4800 12.2987
4900 12.373
5000 12.4334
5100 12.6274
5200 12.9135
5300 13.1788
5400 13.4672
5500 13.7014
5600 13.8673
5700 14.0644
5800 14.2452
5900 14.4307
6000 14.6555
6100 14.9325
6200 15.2744
6300 15.4882
6400 15.6217
6500 15.6808
6600 15.7601
6700 15.9372
6800 16.2002
6900 16.4032
7000 16.5694
7100 16.6986
7200 16.9853
7300 17.1643
7400 17.3262
7500 17.3683
7600 17.4101
7700 17.6462
7800 17.714
7900 17.6298
8000 17.562
8100 17.5123
8200 17.595
8300 17.7221
8400 17.7931
8500 17.8117
8600 17.8448
8700 18.0399
8800 18.1823
8900 18.2876
9000 18.3593
9100 18.3026
9200 18.3559
9300 18.3687
9400 18.3488
9500 18.3354
9600 18.3517
9700 18.4023
9800 18.6107
9900 18.8384
10000 18.9246
10100 19.0738
10200 19.2572
10300 19.4486
10400 19.5763
10500 19.7369
10600 19.7427
10700 19.7453
10800 19.7802
10900 19.9179
11000 20.0633
11100 20.27
11200 20.2433
11300 20.2421
11400 20.3069
11500 20.3815
11600 20.5106
11700 20.5132
11800 20.6787
11900 20.7445
12000 20.8791
12100 21.0876
12200 21.3038
12300 21.4299
12400 21.559
12500 21.7976
12600 22.0213
12700 22.1391
12800 22.2417
12900 22.2532
13000 22.2439
13100 22.3367
13200 22.3646
13300 22.4481
13400 22.4477
13500 22.3933
13600 22.4548
13700 22.609
13800 22.8053
13900 22.9375
14000 23.0641
14100 23.1474
14200 23.2518
14300 23.4454
14400 23.5328
14500 23.7321
14600 23.9157
14700 24.1928
14800 24.4511
14900 24.7211
15000 24.8367
15100 25.1074
15200 25.2993
15300 25.4101
15400 25.4629
15500 25.423
15600 25.335
15700 25.2609
15800 25.3899
15900 25.4773
16000 25.5434
16100 25.632
16200 25.7465
16300 25.9391
16400 26.284
16500 26.2477
16600 26.2746
16700 26.3226
16800 26.3194
16900 26.4291
17000 26.5433
17100 26.7
17200 26.8391
17300 27.0259
17400 27.1204
17500 27.1012
17600 27.1487
17700 27.1834
17800 27.2217
17900 27.2859
18000 27.3619
18100 27.5077
18200 27.8003
18300 27.9368
18400 28.059
18500 28.1636
18600 28.3555
18700 28.569
18800 28.8154
18900 28.9639
19000 29.1031
19100 29.2899
19200 29.5069
19300 29.6776
19400 29.8075
19500 29.9565
19600 30.1427
19700 30.1637
19800 30.1894
19900 30.2274
20000 30.2732
20100 30.2984
20200 30.3301
20300 30.3131
20400 30.2565
20500 29.9877
20600 29.9403
20700 30.0684
20800 30.1557
20900 30.0423
21000 29.889
21100 29.9844
21200 30.053
21300 30.0955
21400 30.0986
21500 30.164
21600 30.3956
21700 30.5565
21800 30.7034
21900 30.7403
22000 30.7676
22100 30.7947
22200 30.8328
22300 31.0253
22400 31.1789
22500 31.2937
22600 31.3942
22700 31.697
22800 31.8265
22900 31.9266
23000 31.9924
23100 32.154
23200 32.4219
23300 32.4663
23400 32.3587
23500 32.3293
23600 32.499
23700 32.7462
23800 32.8511
23900 32.9951
24000 33.1602
24100 33.2752
24200 33.3764
24300 33.3996
24400 33.4438
24500 33.5911
24600 33.5537
24700 33.6879
24800 33.8395
24900 34.1516
25000 34.1936
25100 34.27
25200 34.379
25300 34.2669
25400 34.2227
25500 34.2683
25600 34.3496
25700 34.3595
25800 34.3435
25900 34.4701
26000 34.6354
26100 34.8174
26200 35.0247
26300 35.144
26400 35.3181
26500 35.3686
26600 35.7158
26700 35.7039
26800 35.7773
26900 35.788
27000 35.8534
27100 36.0123
27200 36.0994
27300 36.2143
27400 36.2432
27500 36.2043
27600 36.189
27700 36.0794
27800 36.0636
27900 36.1127
28000 36.3596
28100 36.5958
28200 36.6431
28300 36.7937
28400 36.9807
28500 37.0991
28600 37.357
28700 37.5961
28800 37.8598
28900 38.0484
29000 38.1749
29100 38.1977
29200 38.0984
29300 38.0475
29400 37.9563
29500 37.872
29600 37.6887
29700 37.6155
29800 37.7664
29900 37.8358
30000 38.1181
30100 38.1246
30200 37.9813
30300 37.9336
30400 37.8158
30500 37.8513
30600 38.0854
30700 38.0762
30800 38.0884
30900 38.2038
31000 38.324
31100 38.3872
31200 38.4203
31300 38.5496
31400 38.6219
31500 38.7992
31600 38.8244
31700 38.8965
31800 38.951
31900 38.8623
32000 38.6713
32100 38.7406
32200 38.9319
32300 39.1442
32400 39.382
32500 39.7484
32600 40.0924
32700 40.2629
32800 40.5502
32900 40.7614
33000 41.009
33100 40.9948
33200 41.074
33300 41.3526
33400 41.5161
33500 41.706
33600 41.7555
33700 41.7589
33800 41.7646
33900 42.0121
34000 42.1434
34100 42.3174
34200 42.6727
34300 42.8814
34400 43.1247
34500 43.3545
34600 43.6157
34700 43.6884
34800 43.8071
34900 44.1072
35000 44.3566
35100 44.6402
35200 44.9467
35300 45.2403
35400 45.4993
35500 45.8901
35600 46.0635
35700 46.1428
35800 46.2511
35900 46.408
36000 46.3316
36100 46.0951
36200 46.1145
36300 46.1078
36400 46.1898
36500 46.3779
36600 46.536
36700 46.955
36800 47.316
36900 47.6913
37000 47.9217
37100 47.8603
37200 48.0776
37300 48.1253
37400 48.0287
37500 47.9562
37600 48.0985
37700 48.1265
37800 48.002
37900 47.8542
38000 47.9408
38100 47.9443
38200 48.108
38300 48.2367
38400 48.1519
38500 48.243
38600 48.2791
38700 48.3663
38800 48.6606
38900 48.87
39000 49.3392
39100 49.8996
39200 50.0715
39300 50.2056
39400 50.2785
39500 50.4597
39600 50.5632
39700 50.6574
39800 50.7366
39900 50.8514
40000 50.9872
40100 51.2043
40200 51.47
40300 51.7571
40400 51.7508
40500 51.7473
40600 51.7887
40700 51.8486
40800 51.8763
40900 51.8017
41000 51.8951
41100 52.1192
41200 52.2105
41300 52.3247
41400 52.3168
41500 52.556
41600 52.6722
41700 52.8277
41800 52.9176
41900 53.05
42000 53.1159
42100 53.1298
42200 53.0612
42300 53.0502
42400 52.9595
42500 53.057
