# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_16_10_1[4]
40000 62.7256
40100 63.1921
40200 63.4944
40300 63.566
40400 63.6222
40500 63.7842
40600 63.9255
40700 63.9354
40800 63.8711
40900 63.6915
41000 63.68
41100 63.6121
41200 63.8473
41300 63.8538
41400 63.7807
41500 63.7263
41600 63.7995
41700 63.6952
41800 63.4941
41900 63.468
42000 63.5012
42100 63.721
42200 63.8745
42300 64.0522
42400 64.2025
42500 64.5605
42600 64.5028
42700 64.5571
42800 64.4907
42900 64.4415
43000 64.3866
43100 64.4614
43200 64.3767
43300 64.554
43400 64.5722
43500 64.7945
43600 65.0731
43700 65.3508
43800 65.4553
43900 65.4134
44000 65.1431
44100 65.1771
44200 65.2752
44300 65.2921
44400 65.277
44500 65.4218
44600 65.8009
44700 65.7356
44800 65.6424
44900 65.5753
45000 65.8863
45100 66.1746
45200 66.4564
45300 66.8887
45400 67.2293
45500 67.2853
45600 67.4293
45700 67.5287
45800 67.4591
45900 67.3129
46000 67.3972
46100 67.7995
46200 68.2195
46300 68.3217
46400 68.2413
46500 68.3425
46600 68.2493
46700 68.4077
46800 68.5824
46900 68.8024
47000 69.0792
47100 69.187
47200 69.269
47300 69.5251
47400 69.5176
47500 69.5393
47600 69.6635
47700 69.8327
47800 70.1485
47900 70.5844
48000 70.9175
48100 71.0845
48200 71.443
48300 71.9061
48400 72.3436
48500 72.7185
48600 72.7538
48700 72.644
48800 72.8493
48900 73.2888
49000 73.7168
49100 74.3853
49200 74.7855
49300 74.8589
49400 75.1221
49500 75.4965
49600 75.4544
49700 75.429
49800 75.6607
49900 75.8806
50000 76.0275
50100 76.0563
50200 76.0885
50300 75.9472
50400 76.0752
50500 76.3046
50600 76.4449
50700 76.4859
50800 76.7975
50900 77.2101
51000 77.4565
51100 77.6712
51200 77.9058
51300 77.9911
51400 78.2056
51500 78.0838
51600 78.1909
51700 78.2384
51800 78.347
51900 78.4424
52000 78.4007
52100 78.4453
52200 78.4574
52300 78.4646
52400 78.6002
52500 78.9319
52600 79.0615
52700 78.9206
52800 79.0491
52900 79.3934
53000 79.6587
53100 80.1203
53200 80.4123
53300 80.5668
53400 80.4741
53500 80.3871
53600 80.9383
53700 81.3948
53800 81.6941
53900 81.7054
54000 81.6159
54100 81.6306
54200 81.8636
54300 81.9872
54400 82.5143
54500 82.8714
54600 83.1562
54700 83.5182
54800 83.6607
54900 83.8032
55000 84.34
55100 84.5848
55200 84.9883
55300 85.4543
55400 85.3564
55500 85.2819
55600 85.3548
55700 85.5323
55800 86.0644
55900 86.7444
56000 87.1293
56100 87.2942
56200 87.1629
56300 87.2133
56400 87.1273
56500 87.1479
56600 87.084
56700 87.0571
56800 87.0997
56900 86.7752
57000 86.6056
57100 86.6602
57200 86.6518
57300 86.8902
57400 87.041
57500 87.0204
57600 87.1412
57700 87.382
57800 87.2283
57900 87.1669
58000 87.3786
58100 87.3407
58200 87.6389
58300 87.95
58400 88.2221
58500 88.3325
58600 88.4481
58700 88.6042
58800 88.8278
58900 89.0048
59000 89.2163
59100 89.29
59200 89.2348
59300 89.4374
59400 89.4795
59500 89.5672
59600 89.5716
59700 89.5532
59800 89.5565
59900 89.594
60000 89.6486
60100 89.9199
60200 90.1222
60300 90.5445
60400 90.7069
60500 90.6918
60600 90.7755
60700 91.0112
60800 91.1644
60900 91.3723
61000 91.4531
61100 91.3797
61200 91.065
61300 90.6505
61400 90.5686
61500 90.2317
61600 89.7853
61700 89.6677
61800 89.6027
61900 89.5896
62000 89.8896
62100 90.2934
62200 90.6763
62300 90.9625
62400 91.211
62500 91.3851
62600 91.5559
62700 91.706
62800 92.072
62900 92.3661
63000 92.4483
63100 92.5167
63200 92.7093
63300 92.8419
63400 92.7123
63500 92.4603
63600 92.298
63700 92.41
63800 92.5194
63900 92.4642
64000 92.5579
64100 92.9485
64200 93.2563
64300 93.2515
64400 92.9498
64500 92.9006
64600 92.869
64700 92.6668
64800 92.4159
64900 92.1603
65000 92.2109
65100 92.6305
65200 92.9332
65300 93.3377
65400 93.7689
65500 94.2168
65600 94.3426
65700 94.3776
65800 94.5127
65900 94.7467
66000 94.4987
66100 94.4699
66200 94.8877
66300 94.8687
66400 94.7376
66500 94.8813
66600 94.9671
66700 95.1889
66800 95.3871
66900 95.3749
67000 95.5479
67100 95.4694
67200 95.2482
67300 95.1496
67400 94.9766
67500 94.8603
67600 94.702
67700 94.5228
67800 94.36
67900 94.1258
68000 93.9604
68100 93.829
68200 93.7563
68300 93.6649
68400 93.4344
68500 93.1818
68600 92.983
68700 93.2791
68800 93.1994
68900 93.0963
69000 92.9609
69100 92.9853
69200 93.031
69300 93.0783
69400 93.2551
69500 93.7721
69600 94.3261
69700 94.4783
69800 94.9506
69900 95.289
70000 95.5002
70100 95.8478
70200 95.6637
70300 95.5345
70400 95.5092
70500 95.5853
70600 95.5828
70700 95.6378
70800 95.9945
70900 96.3797
71000 96.8438
71100 96.8529
71200 96.9883
71300 96.9374
71400 96.9152
71500 96.7761
71600 96.4502
71700 96.0087
71800 95.7516
71900 96.0317
72000 96.1833
72100 96.3378
72200 96.385
72300 96.2436
72400 96.7124
72500 97.0811
72600 97.252
72700 97.5542
72800 97.4542
72900 97.4349
73000 97.2148
73100 97.2504
73200 97.3499
73300 97.702
73400 97.8609
73500 97.9091
73600 97.9163
73700 98.0693
73800 97.8519
73900 97.674
74000 97.5133
74100 97.4817
74200 97.5111
74300 97.434
74400 97.4076
74500 97.6075
74600 97.6249
74700 97.7023
74800 97.9692
74900 97.9382
75000 98.1551
75100 98.2189
75200 98.0388
75300 98.1669
75400 98.3529
75500 98.4423
75600 98.3609
75700 98.4185
75800 98.5406
75900 98.3628
76000 98.4274
76100 98.561
76200 98.739
76300 99.144
76400 99.5398
76500 99.817
76600 99.9601
76700 100.195
76800 100.187
76900 99.9122
77000 99.9158
77100 100.094
77200 100.172
77300 100.242
77400 100.477
77500 100.568
77600 100.951
77700 101.349
77800 101.304
77900 101.55
78000 101.973
78100 102.362
78200 102.502
78300 102.73
78400 102.477
78500 102.151
78600 101.791
78700 101.985
78800 102.053
78900 102.211
79000 102.417
79100 102.353
79200 102.219
79300 102.135
79400 102.095
79500 102.342
79600 102.745
79700 103.002
79800 103.075
79900 102.877
80000 102.99
80100 102.955
80200 102.803
80300 102.894
80400 103.25
80500 103.269
80600 103.197
80700 103.197
80800 103.701
80900 104.072
81000 104.271
81100 104.423
81200 104.538
81300 104.182
81400 103.886
81500 103.936
81600 103.873
81700 103.858
81800 104.098
81900 104.408
82000 104.707
82100 104.998
82200 105.156
82300 105.345
82400 105.377
82500 105.462
82600 105.55
82700 105.772
82800 106.16
82900 106.804
83000 107.084
83100 107.296
83200 107.38
83300 107.362
83400 107.424
83500 107.611
83600 107.494
83700 107.6
83800 107.981
83900 108.073
84000 108.54
84100 108.961
84200 109.087
84300 109.16
84400 109.248
84500 109.827
84600 110.211
84700 110.606
84800 110.656
84900 111.149
85000 111.524
85100 111.958
85200 112.614
85300 112.949
85400 112.868
85500 112.843
85600 112.268
85700 112.076
85800 111.705
85900 111.708
86000 111.567
86100 111.564
86200 111.408
86300 110.997
86400 110.81
86500 111.118
86600 111.28
86700 111.487
86800 111.518
86900 111.684
87000 111.867
87100 112.361
87200 112.695
87300 112.705
87400 112.828
87500 113.142
87600 113.427
87700 113.522
87800 113.434
87900 113.329
88000 113.341
88100 113.483
88200 113.456
88300 113.289
88400 113.415
88500 113.597
88600 113.831
88700 114.108
88800 114.178
88900 114.155
89000 114.076
89100 113.662
89200 113.236
89300 112.985
89400 112.939
89500 112.689
89600 112.951
89700 113.304
89800 113.61
89900 113.949
90000 114.304
90100 114.619
90200 114.757
90300 114.795
90400 115.202
90500 115.618
90600 115.762
90700 115.958
90800 116.283
90900 116.335
91000 116.72
91100 116.622
91200 116.531
91300 116.551
91400 116.721
91500 116.823
91600 116.809
91700 116.765
91800 116.969
91900 117.485
92000 117.65
92100 117.529
92200 117.426
92300 117.504
92400 117.363
92500 117.462
92600 117.51
92700 117.597
92800 117.672
92900 117.755
93000 117.934
93100 118.151
93200 118.354
93300 118.313
93400 118.743
93500 119.072
93600 119.259
93700 119.455
93800 119.666
93900 119.787
94000 120.02
94100 120.179
94200 120.358
94300 120.729
94400 120.742
94500 121.366
94600 121.696
94700 121.473
94800 121.137
94900 121.102
95000 121.027
95100 120.955
95200 121.135
95300 121.283
95400 121.511
95500 121.761
95600 121.866
95700 121.981
95800 121.85
95900 121.763
96000 121.818
96100 121.989
96200 122.554
96300 122.768
96400 122.959
96500 123.166
96600 122.987
96700 123.095
96800 122.933
96900 122.788
97000 122.675
97100 122.965
97200 123.236
97300 123.435
97400 123.548
97500 123.756
97600 123.947
97700 124.154
97800 124.28
97900 124.449
98000 124.693
98100 124.676
98200 124.585
98300 124.436
98400 123.968
98500 123.819
98600 123.679
98700 123.849
98800 124.046
98900 124.264
99000 124.712
99100 125.014
99200 124.875
99300 124.574
99400 124.765
99500 124.701
99600 124.725
99700 124.611
99800 124.527
99900 124.703
100000 125.365
