# Time-averaged data for fix rg_avg_B
# TimeStep c_rg_B
0 22.3316
100 22.324
200 22.3173
300 22.3232
400 22.337
500 22.3402
600 22.3316
700 22.3203
800 22.3191
900 22.2989
1000 22.2994
1100 22.3104
1200 22.3261
1300 22.3224
1400 22.3248
1500 22.3352
1600 22.3091
1700 22.2848
1800 22.265
1900 22.2626
2000 22.237
2100 22.2397
2200 22.2468
2300 22.2715
2400 22.2628
2500 22.2546
2600 22.2578
2700 22.2324
2800 22.201
2900 22.1835
3000 22.2067
3100 22.2005
3200 22.1816
3300 22.1481
3400 22.1422
3500 22.1298
3600 22.1228
3700 22.1112
3800 22.1115
3900 22.1089
4000 22.1135
4100 22.1162
4200 22.1212
4300 22.1078
4400 22.1142
4500 22.0882
4600 22.0975
4700 22.1133
4800 22.0866
4900 22.1006
5000 22.0896
5100 22.0944
5200 22.0949
5300 22.1044
5400 22.0908
5500 22.059
5600 22.0235
5700 22.0069
5800 21.9791
5900 21.9705
6000 21.945
6100 21.9335
6200 21.9062
6300 21.8943
6400 21.8932
6500 21.9071
6600 21.9225
6700 21.9101
6800 21.8684
6900 21.8693
7000 21.8683
7100 21.8644
7200 21.8505
7300 21.8251
7400 21.8001
7500 21.7563
7600 21.7381
7700 21.719
7800 21.697
7900 21.6812
8000 21.7015
8100 21.6856
8200 21.656
8300 21.6388
8400 21.6236
8500 21.6355
8600 21.6908
8700 21.725
8800 21.7194
8900 21.7261
9000 21.757
9100 21.7809
9200 21.7897
9300 21.7884
9400 21.8131
9500 21.8615
9600 21.8706
9700 21.8796
9800 21.8711
9900 21.8586
10000 21.8651
10100 21.8574
10200 21.8328
10300 21.8342
10400 21.827
10500 21.8253
10600 21.821
10700 21.8244
10800 21.8319
10900 21.8414
11000 21.879
11100 21.8919
11200 21.8819
11300 21.8938
11400 21.8935
11500 21.9044
11600 21.9225
11700 21.933
11800 21.9538
11900 21.9354
12000 21.9541
12100 21.9727
12200 21.9647
12300 21.9416
12400 21.9146
12500 21.92
12600 21.9426
12700 21.9666
12800 21.9993
12900 22.0149
13000 22.0565
13100 22.0789
13200 22.0764
13300 22.0849
13400 22.0815
13500 22.0897
13600 22.0988
13700 22.1173
13800 22.1227
13900 22.1415
14000 22.1558
14100 22.1468
14200 22.1575
14300 22.149
14400 22.1462
14500 22.1599
14600 22.1625
14700 22.1907
14800 22.2033
14900 22.218
15000 22.2202
15100 22.2223
15200 22.2331
15300 22.235
15400 22.2685
15500 22.2981
15600 22.3122
15700 22.3647
15800 22.3943
