# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
41900 221.34
42000 221.971
42100 222.856
42200 223.941
42300 225.557
42400 226.448
42500 227.08
42600 227.6
42700 227.882
42800 228.117
42900 229.279
43000 230.736
43100 232.185
43200 232.841
43300 233.651
43400 234.55
43500 235.282
43600 236.229
43700 236.907
43800 238.024
43900 238.941
44000 238.97
44100 238.501
44200 238.552
44300 238.972
44400 239.588
44500 240.037
44600 240.358
44700 241.192
44800 240.883
44900 240.423
45000 240.003
45100 240.089
45200 239.459
45300 239.484
45400 240.272
45500 241.17
45600 241.58
45700 240.669
45800 240.023
45900 240.793
46000 241.531
46100 241.547
46200 241.187
46300 241.967
46400 242.027
46500 242.59
46600 242.945
46700 243.097
46800 243.241
46900 243.698
47000 243.002
47100 241.687
47200 241.879
47300 242.209
47400 241.974
47500 242.288
47600 242.792
47700 243.471
47800 243.588
47900 242.813
48000 243.498
48100 244.026
48200 244.462
48300 243.791
48400 242.859
48500 242.804
48600 242.895
48700 242.58
48800 241.594
48900 240.654
49000 240.507
49100 240.469
49200 239.777
49300 239.056
49400 238.816
49500 239.368
49600 239.379
49700 239.56
49800 240.413
49900 241.409
50000 241.907
50100 241.285
50200 241.877
50300 241.95
50400 241.54
50500 241.906
50600 241.747
50700 241.287
50800 240.213
50900 240.658
51000 241.136
51100 242.054
51200 242.212
51300 242.735
51400 242.931
51500 242.924
51600 243.405
51700 243.619
51800 244.106
51900 243.99
52000 244.378
52100 244.275
52200 244.167
52300 244.479
52400 245.542
52500 246.162
52600 245.742
52700 245.599
52800 245.264
52900 245.146
53000 243.963
53100 242.62
53200 242.751
53300 242.932
53400 243.431
53500 244.352
53600 245.13
53700 246.428
53800 247.21
53900 247.42
54000 247.429
54100 246.735
54200 245.995
54300 246.526
54400 246.588
54500 246.058
54600 246.274
54700 246.027
54800 245.812
54900 245.874
55000 245.706
55100 245.893
55200 246.135
55300 246.784
55400 247.202
55500 247.845
55600 247.792
55700 248.204
55800 248.88
55900 249.252
56000 249.948
56100 249.893
56200 249.945
56300 250.596
56400 250.922
56500 251.766
56600 252.67
56700 253.877
56800 253.607
56900 253.43
57000 254.051
57100 253.384
57200 252.452
57300 251.751
57400 251.601
57500 251.063
57600 250.431
57700 249.926
57800 249.957
57900 249.976
