# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 20.4734
100 20.449
200 20.4372
300 20.4113
400 20.4034
500 20.4002
600 20.3924
700 20.3984
800 20.4117
900 20.4131
1000 20.422
1100 20.4394
1200 20.4563
1300 20.4628
1400 20.4735
1500 20.4781
1600 20.4855
1700 20.4879
1800 20.4763
1900 20.4807
2000 20.4985
2100 20.51
2200 20.5287
2300 20.5458
2400 20.5605
2500 20.5517
2600 20.557
2700 20.5579
2800 20.5536
2900 20.5492
3000 20.539
3100 20.5482
3200 20.5511
3300 20.557
3400 20.5482
3500 20.5491
3600 20.5431
3700 20.5409
3800 20.5383
3900 20.5359
4000 20.543
4100 20.53
4200 20.5378
4300 20.5481
4400 20.5717
4500 20.5782
4600 20.5568
4700 20.5195
4800 20.488
4900 20.479
5000 20.4843
5100 20.4972
5200 20.5001
5300 20.49
5400 20.4926
5500 20.4898
5600 20.4853
5700 20.4883
5800 20.4926
5900 20.5024
6000 20.5249
6100 20.5511
6200 20.5667
6300 20.5926
6400 20.596
6500 20.5973
6600 20.5968
6700 20.6031
6800 20.6269
6900 20.6242
7000 20.6229
7100 20.6217
7200 20.6356
7300 20.6375
7400 20.633
7500 20.6292
7600 20.6338
7700 20.6319
7800 20.6261
7900 20.6243
8000 20.6324
8100 20.627
8200 20.6308
8300 20.6247
8400 20.6268
8500 20.6253
8600 20.6102
8700 20.6033
8800 20.6018
8900 20.578
9000 20.5701
9100 20.5731
9200 20.575
9300 20.5896
9400 20.6056
9500 20.6142
9600 20.6291
9700 20.6183
9800 20.5819
9900 20.5714
10000 20.5717
10100 20.586
10200 20.5913
10300 20.594
10400 20.5944
10500 20.6121
10600 20.6226
10700 20.621
10800 20.6274
10900 20.6414
11000 20.6507
11100 20.6778
11200 20.6881
11300 20.695
11400 20.7008
11500 20.7026
11600 20.6907
11700 20.6855
11800 20.6724
11900 20.6763
12000 20.6701
12100 20.6716
12200 20.6846
12300 20.6877
12400 20.6908
12500 20.6963
12600 20.6964
12700 20.6773
12800 20.6771
12900 20.6717
13000 20.6809
13100 20.6984
13200 20.7093
13300 20.7138
13400 20.7248
13500 20.7243
13600 20.7283
13700 20.7392
13800 20.7564
13900 20.7569
14000 20.7662
14100 20.7827
14200 20.7888
14300 20.8002
14400 20.8125
14500 20.8237
14600 20.8231
14700 20.8131
14800 20.7995
14900 20.8024
15000 20.7925
15100 20.7939
15200 20.8024
15300 20.8064
15400 20.7962
15500 20.7901
15600 20.7955
15700 20.802
15800 20.8018
15900 20.8131
16000 20.8133
16100 20.8162
16200 20.8191
16300 20.8309
16400 20.8348
16500 20.8496
16600 20.8636
16700 20.8723
16800 20.8698
16900 20.88
17000 20.8805
17100 20.8785
17200 20.8839
17300 20.8935
17400 20.888
17500 20.8782
17600 20.8734
17700 20.8619
17800 20.8486
17900 20.8476
18000 20.8448
18100 20.8411
18200 20.8347
18300 20.8204
18400 20.8244
18500 20.8275
18600 20.8244
18700 20.8127
18800 20.8208
18900 20.8374
19000 20.8429
19100 20.8418
19200 20.848
19300 20.8457
19400 20.8446
19500 20.8545
19600 20.8651
19700 20.8796
19800 20.8881
19900 20.8905
