# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 19.6155
100 19.6168
200 19.6201
300 19.6241
400 19.6234
500 19.6237
600 19.6291
700 19.6299
800 19.6337
900 19.6362
1000 19.6152
1100 19.5985
1200 19.5877
1300 19.5982
1400 19.6125
1500 19.6159
1600 19.6129
1700 19.6075
1800 19.6089
1900 19.6129
2000 19.6158
2100 19.6158
2200 19.6268
2300 19.6302
2400 19.6226
2500 19.6302
2600 19.6271
2700 19.6233
2800 19.6206
2900 19.605
3000 19.5915
3100 19.5692
3200 19.5571
3300 19.5475
3400 19.5417
3500 19.5454
3600 19.5629
3700 19.5823
3800 19.588
3900 19.5955
4000 19.607
4100 19.6193
4200 19.6175
4300 19.6092
4400 19.6046
4500 19.603
4600 19.6135
4700 19.5998
4800 19.5927
4900 19.5901
5000 19.5868
5100 19.5936
5200 19.5938
5300 19.5989
5400 19.5954
5500 19.6099
5600 19.6313
5700 19.6397
5800 19.6425
5900 19.6469
6000 19.6532
6100 19.667
6200 19.6648
6300 19.6483
6400 19.6456
6500 19.6403
6600 19.6369
6700 19.6437
6800 19.6425
6900 19.6578
7000 19.6731
7100 19.6833
7200 19.6921
7300 19.6872
7400 19.6859
7500 19.6884
7600 19.6938
7700 19.7044
7800 19.6995
7900 19.6819
8000 19.6817
8100 19.684
8200 19.6792
8300 19.6769
8400 19.6838
8500 19.6804
8600 19.6922
8700 19.6961
8800 19.6857
8900 19.6741
9000 19.69
9100 19.6921
9200 19.6843
9300 19.6724
9400 19.6767
9500 19.683
9600 19.6717
9700 19.6549
9800 19.6412
9900 19.6299
10000 19.6358
10100 19.6393
10200 19.6329
10300 19.617
10400 19.6244
10500 19.6492
10600 19.6763
10700 19.6928
10800 19.7004
10900 19.6939
11000 19.6934
11100 19.7028
11200 19.7194
11300 19.7325
11400 19.7335
11500 19.7317
11600 19.7219
11700 19.7255
11800 19.7269
11900 19.7288
12000 19.7296
12100 19.7252
12200 19.7231
12300 19.7312
12400 19.7276
12500 19.7276
12600 19.7198
12700 19.716
12800 19.7121
12900 19.7183
13000 19.7243
13100 19.7148
13200 19.7142
13300 19.7043
13400 19.6895
13500 19.6775
13600 19.6815
13700 19.6883
13800 19.678
13900 19.6628
14000 19.6393
14100 19.6167
14200 19.6114
14300 19.6104
14400 19.6077
14500 19.6046
14600 19.608
14700 19.6201
14800 19.6205
14900 19.6336
15000 19.6409
15100 19.6458
15200 19.6653
15300 19.6825
15400 19.6807
15500 19.6815
15600 19.6804
15700 19.6897
15800 19.7043
15900 19.7178
16000 19.7138
16100 19.7211
16200 19.7179
16300 19.7106
16400 19.7101
16500 19.7039
16600 19.69
16700 19.6794
16800 19.6803
