# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 23.5306
100 23.5413
200 23.5459
300 23.5598
400 23.5719
500 23.5778
600 23.5776
700 23.5683
800 23.5658
900 23.5672
1000 23.5716
1100 23.58
1200 23.5752
1300 23.5839
1400 23.5864
1500 23.604
1600 23.615
1700 23.6274
1800 23.639
1900 23.6514
2000 23.6626
2100 23.6697
2200 23.675
2300 23.6864
2400 23.6973
2500 23.7085
2600 23.7168
2700 23.7232
2800 23.7159
2900 23.7137
3000 23.7173
3100 23.7217
3200 23.7212
3300 23.724
3400 23.7351
3500 23.7589
3600 23.7706
3700 23.7722
3800 23.7694
3900 23.7755
4000 23.7775
4100 23.7858
4200 23.7932
4300 23.8121
4400 23.8247
4500 23.8346
4600 23.8468
4700 23.8528
4800 23.8548
4900 23.8673
5000 23.8917
5100 23.91
5200 23.9223
5300 23.9234
5400 23.9301
5500 23.9333
5600 23.9463
5700 23.9639
5800 23.9696
5900 23.973
6000 23.984
6100 23.9842
6200 23.9672
6300 23.966
6400 23.9602
6500 23.9489
6600 23.9633
6700 23.9644
6800 23.9581
6900 23.9449
7000 23.9205
7100 23.9097
7200 23.9042
7300 23.9083
7400 23.9285
7500 23.9442
7600 23.9547
7700 23.9579
7800 23.9464
7900 23.9467
8000 23.9432
8100 23.9455
8200 23.9417
8300 23.9339
8400 23.9381
8500 23.9367
8600 23.9317
8700 23.9492
8800 23.9542
8900 23.945
9000 23.9587
9100 23.9657
9200 23.9751
9300 23.9895
9400 24.0197
9500 24.0301
9600 24.0418
9700 24.0472
9800 24.0449
9900 24.0341
10000 24.032
10100 24.0255
10200 24.028
10300 24.0495
10400 24.052
10500 24.0616
10600 24.061
10700 24.0614
10800 24.0528
10900 24.046
11000 24.0433
11100 24.0432
11200 24.0611
11300 24.0728
11400 24.0862
11500 24.1074
11600 24.1241
11700 24.1333
11800 24.1447
11900 24.1557
12000 24.1665
12100 24.1695
12200 24.1773
12300 24.1828
12400 24.1733
12500 24.1651
12600 24.1738
12700 24.1736
12800 24.1835
12900 24.1848
13000 24.198
13100 24.1966
13200 24.1995
13300 24.2111
13400 24.2057
13500 24.1994
13600 24.2175
13700 24.2234
13800 24.2384
13900 24.253
14000 24.2617
14100 24.2551
14200 24.2523
14300 24.2476
14400 24.2346
14500 24.2353
14600 24.2435
14700 24.2388
14800 24.2371
14900 24.2358
15000 24.2385
15100 24.2446
15200 24.2516
15300 24.2443
15400 24.2421
15500 24.2405
15600 24.2378
15700 24.2419
15800 24.2407
15900 24.2607
16000 24.275
16100 24.2906
16200 24.3055
16300 24.3303
16400 24.3489
16500 24.3659
16600 24.3765
16700 24.3841
16800 24.3955
16900 24.3903
17000 24.3785
17100 24.3543
17200 24.3328
17300 24.3205
17400 24.3146
17500 24.3058
17600 24.3019
17700 24.3029
17800 24.3114
17900 24.3109
18000 24.302
18100 24.3157
18200 24.3193
18300 24.3158
18400 24.3123
18500 24.3285
18600 24.3446
18700 24.3523
18800 24.353
18900 24.3458
19000 24.3592
19100 24.3716
19200 24.3797
19300 24.4018
19400 24.4015
19500 24.4085
19600 24.3973
19700 24.3884
19800 24.3835
19900 24.3817
20000 24.3776
20100 24.3841
20200 24.3961
20300 24.3955
20400 24.4038
20500 24.412
20600 24.4177
20700 24.4171
20800 24.4244
20900 24.4176
21000 24.4035
21100 24.4005
21200 24.4004
21300 24.3981
21400 24.4094
21500 24.4191
21600 24.432
21700 24.435
21800 24.4541
21900 24.4645
22000 24.4594
22100 24.4505
22200 24.4561
22300 24.4653
22400 24.4802
22500 24.4928
22600 24.5024
22700 24.5038
22800 24.4985
22900 24.4895
23000 24.487
23100 24.4828
23200 24.4755
23300 24.4559
23400 24.4611
23500 24.4707
23600 24.4803
23700 24.4782
23800 24.4901
23900 24.4975
24000 24.4978
24100 24.4949
24200 24.5009
24300 24.514
24400 24.5357
24500 24.5453
24600 24.5544
24700 24.5532
24800 24.5372
24900 24.5412
25000 24.5495
25100 24.5483
25200 24.5555
25300 24.5592
25400 24.5703
25500 24.5893
25600 24.6013
25700 24.6128
25800 24.6205
25900 24.6382
26000 24.631
26100 24.6424
26200 24.6587
26300 24.6779
26400 24.6839
26500 24.702
26600 24.6999
26700 24.7041
26800 24.7258
26900 24.7485
27000 24.7681
27100 24.7743
27200 24.7732
27300 24.7858
27400 24.7951
27500 24.8101
27600 24.8329
27700 24.8493
27800 24.8755
27900 24.8913
28000 24.9073
28100 24.9373
28200 24.957
28300 24.96
28400 24.9755
28500 24.9809
28600 24.9699
28700 24.9598
28800 24.9561
28900 24.9606
29000 24.9611
29100 24.9715
29200 24.9757
29300 24.9894
29400 24.9965
29500 24.9986
29600 25.0218
29700 25.0437
29800 25.0379
29900 25.0264
30000 25.032
30100 25.03
30200 25.0184
30300 25.0034
30400 25.0017
30500 24.9958
30600 24.9793
30700 24.9539
30800 24.956
30900 24.9441
31000 24.9449
31100 24.953
31200 24.9607
31300 24.9568
31400 24.9649
31500 24.9866
31600 24.9804
31700 24.9704
31800 24.966
31900 24.9587
32000 24.9454
32100 24.9545
32200 24.9615
32300 24.967
32400 24.9768
32500 24.9816
32600 24.9915
32700 24.9903
32800 24.9831
32900 24.9754
33000 24.9772
33100 24.9777
33200 24.9861
33300 24.9984
33400 25.0107
33500 25.03
33600 25.0435
33700 25.0558
33800 25.0745
33900 25.0775
34000 25.0619
34100 25.062
34200 25.0693
34300 25.0692
34400 25.0895
34500 25.1002
34600 25.0954
34700 25.0943
34800 25.0962
34900 25.0969
35000 25.0839
35100 25.0772
35200 25.0857
35300 25.0884
35400 25.0906
35500 25.1012
35600 25.1091
35700 25.1126
35800 25.1104
35900 25.1032
36000 25.0976
36100 25.1001
36200 25.0835
36300 25.0825
36400 25.0795
36500 25.0784
36600 25.0872
36700 25.0976
36800 25.1152
36900 25.1096
37000 25.0953
37100 25.0995
37200 25.0973
37300 25.0953
37400 25.0854
37500 25.0912
37600 25.1004
37700 25.1058
37800 25.1095
37900 25.1211
38000 25.1274
38100 25.1379
38200 25.1544
38300 25.1557
38400 25.1468
38500 25.1443
38600 25.1452
38700 25.139
38800 25.1436
38900 25.1513
39000 25.1566
39100 25.1449
39200 25.1406
39300 25.1458
39400 25.1598
39500 25.182
39600 25.1845
39700 25.1765
39800 25.1747
39900 25.1631
40000 25.1738
40100 25.1913
40200 25.1847
40300 25.1765
40400 25.1784
40500 25.1802
40600 25.1843
40700 25.1946
40800 25.2059
40900 25.2323
41000 25.2422
41100 25.2379
41200 25.2426
41300 25.2391
41400 25.2382
41500 25.2428
41600 25.2408
41700 25.2406
41800 25.2487
41900 25.2622
42000 25.2706
42100 25.2606
42200 25.2639
42300 25.264
42400 25.2776
42500 25.2836
42600 25.2936
42700 25.3093
42800 25.3214
42900 25.3407
43000 25.3605
43100 25.3781
43200 25.383
43300 25.3876
43400 25.375
43500 25.3711
43600 25.3716
43700 25.3754
43800 25.3641
43900 25.3448
44000 25.3261
44100 25.317
44200 25.3087
44300 25.2929
44400 25.2971
44500 25.2893
44600 25.2758
44700 25.2622
44800 25.2626
44900 25.2742
45000 25.2965
45100 25.3129
45200 25.3208
45300 25.316
45400 25.3076
45500 25.2992
45600 25.2854
45700 25.2961
45800 25.3165
45900 25.332
46000 25.3427
46100 25.3527
46200 25.3595
46300 25.364
46400 25.3661
46500 25.3808
46600 25.3858
46700 25.3927
46800 25.389
46900 25.3886
47000 25.3849
47100 25.3856
47200 25.3826
47300 25.3849
47400 25.3962
47500 25.423
47600 25.439
47700 25.4503
47800 25.4545
47900 25.4475
48000 25.454
48100 25.4563
48200 25.4579
48300 25.4723
48400 25.4807
48500 25.4774
48600 25.4576
48700 25.4469
48800 25.4483
48900 25.4388
49000 25.4432
49100 25.4557
49200 25.4536
49300 25.4555
49400 25.4476
49500 25.4386
49600 25.4251
49700 25.4307
49800 25.4432
49900 25.4512
50000 25.4533
50100 25.4474
50200 25.4574
50300 25.4744
50400 25.4815
50500 25.4819
50600 25.4858
50700 25.4831
50800 25.4762
50900 25.4771
51000 25.47
51100 25.4809
51200 25.4838
51300 25.4836
51400 25.4863
51500 25.4853
51600 25.4951
51700 25.4973
51800 25.4929
51900 25.4992
52000 25.5177
52100 25.536
52200 25.5456
52300 25.5688
52400 25.5907
52500 25.5947
52600 25.5886
52700 25.5901
52800 25.5907
52900 25.586
53000 25.5892
53100 25.594
53200 25.5878
53300 25.5977
53400 25.6075
53500 25.6204
53600 25.6194
53700 25.6193
53800 25.6199
53900 25.6155
54000 25.612
54100 25.6218
54200 25.6245
54300 25.637
54400 25.6328
54500 25.6421
54600 25.6571
54700 25.6607
54800 25.6615
54900 25.6605
55000 25.6557
55100 25.6524
55200 25.6631
55300 25.6655
55400 25.6728
55500 25.6833
55600 25.6921
55700 25.6904
55800 25.6911
55900 25.7024
56000 25.7158
56100 25.7176
56200 25.714
56300 25.7101
56400 25.7136
56500 25.7273
56600 25.7355
56700 25.7404
56800 25.7321
56900 25.7185
57000 25.6969
57100 25.6912
57200 25.6862
57300 25.6895
57400 25.6879
57500 25.6959
57600 25.6945
57700 25.7031
57800 25.7213
57900 25.7417
58000 25.7485
58100 25.7572
58200 25.7877
58300 25.8005
58400 25.8101
58500 25.8018
58600 25.8091
58700 25.8249
58800 25.8313
58900 25.8326
59000 25.8386
59100 25.8432
59200 25.8498
59300 25.8658
59400 25.869
59500 25.877
59600 25.8872
59700 25.8911
59800 25.9116
59900 25.9346
60000 25.9404
60100 25.9511
60200 25.9676
60300 25.9695
60400 25.9675
60500 25.9598
60600 25.9585
60700 25.955
60800 25.9481
60900 25.9349
61000 25.9213
61100 25.915
61200 25.9281
61300 25.9313
61400 25.9379
61500 25.9352
61600 25.9289
61700 25.9337
61800 25.9487
61900 25.9523
62000 25.956
62100 25.9634
62200 25.9732
62300 25.9864
62400 25.9979
62500 26.0134
62600 26.0113
62700 26.0155
62800 26.0276
62900 26.0377
63000 26.0449
63100 26.0465
63200 26.0652
63300 26.0832
63400 26.1166
63500 26.1303
63600 26.1285
63700 26.1231
63800 26.1165
63900 26.1184
64000 26.1082
64100 26.1062
64200 26.1063
64300 26.1119
64400 26.1247
64500 26.1202
64600 26.1091
64700 26.0961
64800 26.1053
64900 26.118
65000 26.1152
65100 26.1132
65200 26.0947
65300 26.0847
65400 26.0749
65500 26.0869
65600 26.0948
65700 26.1029
65800 26.1056
65900 26.1142
66000 26.1389
66100 26.1564
66200 26.1611
66300 26.1593
66400 26.172
66500 26.1747
66600 26.1772
66700 26.1943
66800 26.2331
66900 26.259
67000 26.2805
67100 26.3091
67200 26.3221
67300 26.3305
67400 26.3267
67500 26.3342
67600 26.3442
67700 26.3465
67800 26.3588
67900 26.3763
68000 26.385
68100 26.3922
68200 26.3876
68300 26.3863
68400 26.3888
68500 26.3959
68600 26.4003
68700 26.3971
68800 26.3868
68900 26.3772
69000 26.3676
69100 26.3744
69200 26.3901
69300 26.403
69400 26.4044
69500 26.4005
69600 26.4018
69700 26.4169
69800 26.4298
69900 26.4508
70000 26.4716
70100 26.483
70200 26.4873
70300 26.4988
70400 26.5041
70500 26.5056
70600 26.5161
70700 26.5374
70800 26.5681
70900 26.5842
71000 26.586
71100 26.5803
71200 26.5898
71300 26.5941
71400 26.5987
71500 26.609
71600 26.6234
71700 26.6338
71800 26.6451
71900 26.6541
72000 26.6578
72100 26.657
72200 26.66
72300 26.6559
72400 26.6605
72500 26.6655
72600 26.6672
72700 26.6743
72800 26.6843
72900 26.6958
73000 26.7078
73100 26.7002
73200 26.6955
73300 26.6944
73400 26.7104
73500 26.7279
73600 26.7383
73700 26.7387
73800 26.7333
73900 26.729
74000 26.7282
74100 26.7229
74200 26.7203
74300 26.7232
74400 26.7314
74500 26.7473
74600 26.7563
74700 26.7601
74800 26.7707
74900 26.7901
75000 26.812
75100 26.8223
75200 26.8317
75300 26.8502
75400 26.865
75500 26.8716
75600 26.8728
75700 26.8879
75800 26.8935
75900 26.8869
76000 26.9099
76100 26.9239
76200 26.9396
76300 26.9395
76400 26.9452
76500 26.9374
76600 26.9284
76700 26.9268
76800 26.9241
76900 26.9299
77000 26.9375
77100 26.9392
77200 26.9319
77300 26.9256
77400 26.9304
77500 26.9304
77600 26.9438
77700 26.9566
77800 26.941
77900 26.9347
78000 26.9328
78100 26.9257
78200 26.922
78300 26.9256
78400 26.9312
78500 26.9531
78600 26.9732
78700 26.9797
78800 26.9826
78900 26.9934
79000 26.9988
79100 26.9962
79200 27.0044
79300 27.0053
79400 27.0123
79500 27.0266
79600 27.0249
79700 27.0189
79800 27.0186
79900 27.0262
80000 27.0282
80100 27.0307
80200 27.0353
80300 27.032
80400 27.0182
80500 27.0151
80600 27.0109
80700 27.0025
80800 26.998
80900 26.9894
81000 27.0047
81100 27.0009
81200 27.003
81300 27.0074
81400 27.014
81500 27.0118
81600 27.0274
81700 27.0356
81800 27.0439
81900 27.0615
82000 27.0731
82100 27.0819
82200 27.0996
82300 27.1182
82400 27.1335
82500 27.1408
82600 27.1513
82700 27.1592
82800 27.171
82900 27.1838
83000 27.1782
83100 27.1767
83200 27.1767
83300 27.1758
83400 27.1671
83500 27.1599
83600 27.1593
83700 27.1564
83800 27.1608
83900 27.154
84000 27.1431
84100 27.1303
84200 27.1241
84300 27.1108
84400 27.0992
84500 27.0997
84600 27.1049
84700 27.1061
84800 27.113
84900 27.1146
85000 27.1181
85100 27.124
85200 27.135
85300 27.1504
85400 27.1739
85500 27.1788
85600 27.1946
85700 27.2137
85800 27.2152
85900 27.2321
86000 27.243
86100 27.2473
86200 27.2596
86300 27.2926
86400 27.3051
86500 27.3152
86600 27.3248
86700 27.3494
86800 27.3693
86900 27.3885
87000 27.4031
87100 27.409
87200 27.4267
87300 27.4367
87400 27.4458
87500 27.4403
87600 27.4332
87700 27.4205
87800 27.4124
87900 27.4183
88000 27.4313
88100 27.4455
88200 27.436
88300 27.4466
88400 27.4538
88500 27.4665
88600 27.4608
88700 27.4597
88800 27.4598
88900 27.4488
89000 27.4442
89100 27.4523
89200 27.4483
89300 27.4439
89400 27.4418
89500 27.4261
89600 27.423
89700 27.431
89800 27.437
