# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 21.8601
100 21.8622
200 21.864
300 21.8739
400 21.8872
500 21.8839
600 21.8995
700 21.9048
800 21.905
900 21.9044
1000 21.8941
1100 21.9033
1200 21.9111
1300 21.9121
1400 21.9199
1500 21.9343
1600 21.9462
1700 21.9529
1800 21.948
1900 21.9367
2000 21.9404
2100 21.9463
2200 21.9561
2300 21.959
2400 21.965
2500 21.9673
2600 21.974
2700 21.9734
2800 21.9621
2900 21.9577
3000 21.9493
3100 21.9306
3200 21.9228
3300 21.9333
3400 21.9457
3500 21.9473
3600 21.9528
3700 21.9639
3800 21.9816
3900 21.987
4000 21.995
4100 22.0023
4200 22.0016
4300 22.0189
4400 22.0277
4500 22.0312
4600 22.0484
4700 22.0481
4800 22.0557
4900 22.0484
5000 22.0481
5100 22.0389
5200 22.036
5300 22.0342
5400 22.0316
5500 22.0276
5600 22.0351
5700 22.0407
5800 22.0451
5900 22.0426
6000 22.0356
6100 22.0326
6200 22.038
6300 22.0478
6400 22.0482
6500 22.0596
6600 22.0745
6700 22.0812
6800 22.0707
6900 22.0678
7000 22.0732
7100 22.0876
7200 22.0956
7300 22.0882
7400 22.0904
7500 22.0806
7600 22.0844
7700 22.0987
7800 22.1102
7900 22.0977
8000 22.0873
8100 22.0859
8200 22.1073
8300 22.1155
8400 22.1225
8500 22.1204
8600 22.1165
8700 22.1213
8800 22.1301
8900 22.1197
9000 22.1131
9100 22.1065
9200 22.1106
9300 22.135
9400 22.1531
9500 22.1687
9600 22.1742
9700 22.1737
9800 22.1755
9900 22.1873
10000 22.1992
10100 22.2175
10200 22.2441
10300 22.243
10400 22.2496
10500 22.2556
10600 22.252
10700 22.2483
10800 22.2338
10900 22.2116
11000 22.1995
11100 22.1933
11200 22.2028
11300 22.2022
11400 22.2099
11500 22.2156
11600 22.2221
11700 22.2299
11800 22.2393
11900 22.2434
12000 22.2482
12100 22.2447
12200 22.2428
12300 22.2396
12400 22.2338
12500 22.2351
12600 22.2363
12700 22.2381
12800 22.2422
12900 22.2445
13000 22.256
13100 22.254
13200 22.2408
13300 22.2388
13400 22.2389
13500 22.2397
13600 22.2571
13700 22.261
13800 22.2588
13900 22.268
14000 22.2785
14100 22.2831
14200 22.3057
14300 22.3179
14400 22.3239
14500 22.3248
14600 22.3068
14700 22.2977
14800 22.2787
14900 22.2533
15000 22.2591
15100 22.2518
15200 22.2384
15300 22.2448
15400 22.2491
15500 22.2658
15600 22.2623
15700 22.243
15800 22.2346
15900 22.2249
16000 22.2358
16100 22.2354
16200 22.2427
16300 22.245
16400 22.2581
16500 22.2811
16600 22.2903
16700 22.3098
16800 22.3253
16900 22.3372
17000 22.3481
17100 22.3567
17200 22.3667
17300 22.3724
17400 22.385
17500 22.4041
17600 22.4094
17700 22.4192
17800 22.4328
17900 22.4479
18000 22.4424
18100 22.4169
18200 22.4056
18300 22.4048
18400 22.4207
18500 22.4446
18600 22.4576
18700 22.471
18800 22.48
18900 22.4849
19000 22.4925
19100 22.4858
19200 22.4772
19300 22.4687
19400 22.4523
19500 22.4478
19600 22.454
19700 22.4644
19800 22.4581
19900 22.4512
20000 22.4458
20100 22.4396
20200 22.4524
20300 22.4548
20400 22.4603
20500 22.4691
20600 22.4821
20700 22.4936
20800 22.4929
20900 22.4918
21000 22.5027
21100 22.5214
21200 22.5279
21300 22.5228
21400 22.52
21500 22.5175
21600 22.523
21700 22.5287
21800 22.5458
21900 22.5616
22000 22.5814
22100 22.5784
22200 22.5721
22300 22.5717
22400 22.5661
22500 22.5776
22600 22.5835
22700 22.5907
22800 22.5884
22900 22.5958
23000 22.612
23100 22.6034
23200 22.5961
23300 22.5886
23400 22.5829
23500 22.5791
23600 22.5892
23700 22.5906
23800 22.5877
23900 22.6013
24000 22.629
24100 22.6437
24200 22.6503
24300 22.6513
24400 22.6601
24500 22.6677
24600 22.6741
24700 22.679
24800 22.6794
24900 22.6788
25000 22.6714
25100 22.6738
25200 22.6878
25300 22.7003
25400 22.7028
25500 22.6929
25600 22.6933
25700 22.7154
25800 22.7273
25900 22.7333
26000 22.7285
26100 22.7144
26200 22.7131
26300 22.7097
26400 22.7111
26500 22.7239
26600 22.7271
26700 22.7298
26800 22.7476
26900 22.7534
27000 22.7491
27100 22.7535
27200 22.7456
27300 22.7447
27400 22.7471
27500 22.7459
27600 22.7364
27700 22.7316
27800 22.7262
27900 22.7292
28000 22.7372
28100 22.7518
28200 22.7681
28300 22.7623
28400 22.7626
28500 22.7615
28600 22.783
28700 22.7995
28800 22.8107
28900 22.821
29000 22.8249
29100 22.8341
29200 22.8625
29300 22.8775
29400 22.8901
29500 22.889
29600 22.8883
29700 22.9002
29800 22.9107
29900 22.9142
30000 22.9213
30100 22.9245
30200 22.9205
30300 22.926
30400 22.9393
30500 22.9501
30600 22.9565
30700 22.9589
30800 22.9558
30900 22.9573
31000 22.9535
31100 22.9578
31200 22.9559
31300 22.9644
31400 22.9694
31500 22.979
31600 22.982
31700 22.9884
31800 22.9993
31900 23.0166
32000 23.025
32100 23.0307
32200 23.0336
32300 23.0407
32400 23.0365
32500 23.0564
32600 23.0609
32700 23.072
32800 23.0805
32900 23.0991
33000 23.1037
33100 23.103
33200 23.0898
33300 23.0874
33400 23.0939
33500 23.1009
33600 23.1148
33700 23.1341
33800 23.1383
33900 23.1356
34000 23.1315
34100 23.1313
34200 23.1298
34300 23.1404
34400 23.1606
34500 23.1715
34600 23.1579
34700 23.1523
34800 23.1475
34900 23.1444
35000 23.1411
35100 23.1538
35200 23.1673
35300 23.19
35400 23.2037
35500 23.2201
35600 23.2243
35700 23.2234
35800 23.2249
35900 23.2246
36000 23.2346
36100 23.2384
36200 23.2467
36300 23.2442
36400 23.2376
36500 23.247
36600 23.2639
36700 23.2677
36800 23.2707
36900 23.2775
37000 23.2839
37100 23.2816
37200 23.2962
37300 23.2986
37400 23.3019
37500 23.3026
37600 23.3084
37700 23.3065
37800 23.2982
37900 23.3037
38000 23.3097
38100 23.3114
38200 23.3228
38300 23.3287
38400 23.3272
38500 23.3251
38600 23.3393
38700 23.3573
38800 23.3789
38900 23.3971
39000 23.4068
39100 23.4232
39200 23.4277
39300 23.4421
39400 23.4627
39500 23.4688
39600 23.4675
39700 23.4731
39800 23.4742
39900 23.4948
40000 23.4897
40100 23.4931
40200 23.497
40300 23.5045
40400 23.5065
40500 23.4952
40600 23.4883
40700 23.4911
40800 23.494
40900 23.4941
41000 23.4932
41100 23.4764
41200 23.4717
41300 23.4627
41400 23.4483
41500 23.4483
41600 23.4523
41700 23.4733
41800 23.4897
41900 23.5051
42000 23.5241
42100 23.5326
42200 23.5515
42300 23.564
42400 23.578
42500 23.5824
42600 23.5886
42700 23.5942
42800 23.6014
42900 23.6165
43000 23.6279
43100 23.6453
43200 23.6523
43300 23.6457
43400 23.647
43500 23.6437
43600 23.642
43700 23.6346
43800 23.6456
43900 23.6705
44000 23.6794
44100 23.7011
44200 23.7087
44300 23.7083
44400 23.7139
44500 23.708
44600 23.7136
44700 23.7066
44800 23.6965
44900 23.6953
45000 23.6877
45100 23.6912
45200 23.701
45300 23.7067
45400 23.7052
45500 23.6973
45600 23.6875
45700 23.6803
45800 23.6703
45900 23.661
46000 23.6606
46100 23.6484
46200 23.643
46300 23.6295
46400 23.6243
46500 23.6349
46600 23.6401
46700 23.6444
46800 23.6611
46900 23.6652
47000 23.6748
47100 23.6752
47200 23.683
47300 23.6938
47400 23.7037
47500 23.7017
47600 23.6941
47700 23.6938
47800 23.6942
47900 23.7056
48000 23.7177
48100 23.7276
48200 23.7271
